# N l b R fracMedian appU appV Au Av SNR
1 95.3440734471 -61.2835329394 141.8 0.000132897109239 22.6360378497 21.5255547841 0.19265669547 0.182173629887 6.89843565838
2 99.9082712555 -62.1733175948 143.9 0.000131505663308 22.6367576194 21.5279724111 0.161453649756 0.152668441461 6.88638993864
3 104.722343218 -62.9063377544 130.1 0.000124552815312 22.6389710036 21.518153359 0.382584520802 0.361766876169 6.88941293909
4 109.752610824 -63.4695115428 147.7 0.000129025744428 22.6356876588 21.5300403758 0.103785182228 0.0981378992768 6.89109981017
5 114.950797418 -63.851798131 147.5 0.000127452380831 22.6355639704 21.5297633138 0.106603868874 0.100803212187 6.89284844524
6 120.255752214 -64.0451605136 146.7 0.000125748992473 22.6355231563 21.5290821261 0.11837258704 0.111931556843 6.89480227678
7 125.597410955 -64.0453544449 141.1 0.000122249110716 22.6374072563 21.5262649481 0.204772187546 0.193629879378 6.88457368069
8 130.902511204 -63.8523756065 134.2 0.000116999241415 22.637754731 21.520669416 0.313992151823 0.296906836869 6.89445573271
9 136.100976192 -63.4704600701 126.7 0.000108708989398 22.6401914211 21.5161784257 0.441308346689 0.417295351297 6.88306810814
10 141.131632624 -62.9076379538 138.4 0.000116303452145 22.6376948566 21.5242540145 0.247014405951 0.233573563881 6.88667938473
11 145.946175613 -62.174945011 143.7 0.000117651096154 22.6366820777 21.527736645 0.164398236983 0.155452804301 6.8876116449
12 150.510897182 -61.285460022 145.7 0.00011733693078 22.6363511999 21.5290569244 0.134053441091 0.126759165586 6.88748376533
13 154.806344861 -60.2533398708 145.3 0.000115933655574 22.6366412833 21.5290063937 0.140313211856 0.132678322249 6.88501843165
14 158.825506669 -59.0929815161 143.8 0.000114112113832 22.6361506235 21.527316305 0.162356193308 0.153521874739 6.89332679703
15 162.571242354 -57.8183786026 144.3 0.000113220235825 22.6365076364 21.5280640161 0.155175980981 0.146732360678 6.88840346603
16 166.053571238 -56.4426853059 144.4 0.000112188172764 22.6362063127 21.5278609428 0.153370346567 0.145024976593 6.8915614581
17 169.2872162 -54.9779637259 143.7 0.000110871586843 22.6356715891 21.5267811404 0.163387748469 0.154497299692 6.89884631342
18 172.289596996 -53.4350746099 144.9 0.000110564930094 22.636388167 21.528441325 0.146046239631 0.138099397688 6.8885888932
19 175.079315573 -51.8236690122 138.6 0.000105649013381 22.637341982 21.5240909645 0.243525830656 0.230274813101 6.89020440294
20 177.675089027 -50.1522441887 130.7 9.75690431279e-05 22.6393688574 21.5190732313 0.372990919538 0.352695293363 6.88373771161
21 180.095048524 -48.4282355136 133.2 9.92316160209e-05 22.6374576936 21.519504792 0.329936569408 0.311983667813 6.89980778027
22 182.356316143 -46.6581246767 133.6 9.88341455403e-05 22.6379908485 21.5203632296 0.323958557844 0.306330938935 6.89305631364
23 184.474781271 -44.847551209 129.4 9.3453977453e-05 22.6385580722 21.5171254404 0.393886690512 0.372454058759 6.89547639762
24 186.465013201 -43.0014196943 106.0 0.0 22.6440700812 21.498768882 0.832540754899 0.787239555724 6.88814661479
25 188.340262259 -41.1239985192 122.4 8.16038783717e-05 22.6404339277 21.5123280542 0.51652683869 0.48842096512 6.8897554735
26 190.112515163 -39.2190083668 98.2 0.0 22.6452589845 21.4908620333 0.999701545611 0.94530459439 6.89536193563
27 191.792580882 -37.2897000867 90.9 0.0 22.6471191846 21.4834938529 1.16929976851 1.10567443678 6.89519323867
28 193.390191205 -35.3389223841 104.3 0.0 22.6438933711 21.4966914607 0.867471828982 0.820269918598 6.89444571277
29 194.914105832 -33.3691801903 125.3 8.40103695015e-05 22.6388544723 21.5136013583 0.464099117294 0.438846003346 6.90095748781
30 196.372215747 -31.3826847477 138.2 9.81527294314e-05 22.636520291 21.5229724906 0.248980075829 0.235432275388 6.90013616604
31 197.771641284 -29.381396469 143.3 0.000101552779257 22.6367530347 21.5274743841 0.170522082746 0.161243432075 6.88758990661
32 199.118823023 -27.3670615776 132.4 9.18869461105e-05 22.6375743172 21.51890328 0.34313439168 0.324463354461 6.90015862413
33 200.419604778 -25.3412434539 131.2 9.03518565071e-05 22.6385308047 21.5187319323 0.363861629479 0.344062757108 6.8920078944
34 201.679308658 -23.3053494688 119.1 7.10185897192e-05 22.6405632239 21.5092209856 0.576004416533 0.544662178155 6.89573114935
35 202.902802505 -21.260654087 101.9 0.0 22.6434840575 21.4935537985 0.917613137439 0.867682878457 6.90524026082
36 204.094560375 -19.2083187508 113.4 5.55119974077e-05 22.6415670087 21.5043754982 0.683501735926 0.646310225368 6.89782949067
37 205.258716694 -17.1494091399 85.8 0.0 22.6488590772 21.4783165845 1.296422638 1.22588014528 6.8910905876
38 206.39911484 -15.0849102212 43.4 0.0 22.6634099724 21.4115448606 2.79096132487 2.63909621301 6.90366668075
53 222.801306119 16.0056739054 144.2 0.00010619216734 22.6361744584 21.5276670563 0.156348156491 0.147840754378 6.89229712343
54 223.983057615 18.0515688863 136.7 0.00010163696468 22.6376428652 21.5227445176 0.273800292369 0.258901944743 6.89064450463
55 225.194444723 20.0891323986 140.8 0.000105528172067 22.6368201374 21.5254582896 0.208806863334 0.197445015581 6.89168157702
56 226.439565085 22.117220015 142.5 0.000107446180098 22.6373015322 21.527331555 0.183227210492 0.173257233277 6.88303660928
57 227.722836381 24.134581676 143.3 0.000108841039276 22.6359099272 21.5266771527 0.169678975176 0.160446200678 6.89696247942
