# R appU appV SNR contamination
120.0 22.0809062302 20.9809062302 16.2133532806 0.0
120.1 22.082715037 20.982715037 16.1715374837 0.0
120.2 22.0845223383 20.9845223383 16.1298337972 0.0
120.3 22.0863281367 20.9863281367 16.0882420234 0.0
120.4 22.0881324346 20.9881324346 16.0467619637 0.0
120.5 22.0899352346 20.9899352346 16.0053934183 0.0
120.6 22.091736539 20.991736539 15.9641361863 0.0
120.7 22.0935363505 20.9935363505 15.9229900659 0.0
120.8 22.0953346714 20.9953346714 15.8819548543 0.0
120.9 22.0971315043 20.9971315043 15.8410303477 0.0
121.0 22.0989268516 20.9989268516 15.8002163416 0.0
121.1 22.1007207157 21.0007207157 15.7595126301 0.0
121.2 22.1025130992 21.0025130992 15.7189190068 0.0
121.3 22.1043040043 21.0043040043 15.6784352642 0.0
121.4 22.1060934337 21.0060934337 15.638061194 0.0
121.5 22.1078813897 21.0078813897 15.5977965871 0.0
121.6 22.1096678747 21.0096678747 15.5576412333 0.0
121.7 22.1114528912 21.0114528912 15.5175949219 0.0
121.8 22.1132364415 21.0132364415 15.4776574412 0.0
121.9 22.1150185281 21.0150185281 15.4378285787 0.0
122.0 22.1167991534 21.0167991534 15.3981081212 0.0
122.1 22.1185783197 21.0185783197 15.3584958547 0.0
122.2 22.1203560295 21.0203560295 15.3189915646 0.0
122.3 22.1221322852 21.0221322852 15.2795950353 0.0
122.4 22.123907089 21.023907089 15.2403060507 0.0
122.5 22.1256804435 21.0256804435 15.201124394 0.0
122.6 22.1274523509 21.0274523509 15.1620498475 0.0
122.7 22.1292228136 21.0292228136 15.1230821932 0.0
122.8 22.130991834 21.030991834 15.084221212 0.0
122.9 22.1327594144 21.0327594144 15.0454666847 0.0
123.0 22.1345255572 21.0345255572 15.006818391 0.0
123.1 22.1362902647 21.0362902647 14.9682761103 0.0
123.2 22.1380535391 21.0380535391 14.9298396213 0.0
123.3 22.139815383 21.039815383 14.8915087021 0.0
123.4 22.1415757985 21.0415757985 14.8532831302 0.0
123.5 22.143334788 21.043334788 14.8151626827 0.0
123.6 22.1450923538 21.0450923538 14.7771471362 0.0
123.7 22.1468484981 21.0468484981 14.7392362665 0.0
123.8 22.1486032234 21.0486032234 14.7014298491 0.0
123.9 22.1503565319 21.0503565319 14.6637276591 0.0
124.0 22.1521084258 21.0521084258 14.626129471 0.0
124.1 22.1538589075 21.0538589075 14.5886350587 0.0
124.2 22.1556079792 21.0556079792 14.5512441959 0.0
124.3 22.1573556432 21.0573556432 14.5139566558 0.0
124.4 22.1591019018 21.0591019018 14.476772211 0.0
124.5 22.1608467572 21.0608467572 14.439690634 0.0
124.6 22.1625902116 21.0625902116 14.4027116965 0.0
124.7 22.1643322674 21.0643322674 14.3658351703 0.0
124.8 22.1660729267 21.0660729267 14.3290608264 0.0
124.9 22.1678121919 21.0678121919 14.2923884356 0.0
125.0 22.169550065 21.069550065 14.2558177685 0.0
125.1 22.1712865485 21.0712865485 14.2193485951 0.0
125.2 22.1730216444 21.0730216444 14.1829806852 0.0
125.3 22.174755355 21.074755355 14.1467138084 0.0
125.4 22.1764876825 21.0764876825 14.1105477337 0.0
125.5 22.1782186291 21.0782186291 14.0744822302 0.0
125.6 22.179948197 21.079948197 14.0385170664 0.0
125.7 22.1816763884 21.0816763884 14.0026520107 0.00011460004584
125.8 22.1834032055 21.0834032055 13.9668868312 0.0
125.9 22.1851286505 21.0851286505 13.9312212957 0.0
126.0 22.1868527256 21.0868527256 13.8956551718 0.0
126.1 22.1885754329 21.0885754329 13.860188227 0.0
126.2 22.1902967745 21.0902967745 13.8248202285 0.0
126.3 22.1920167528 21.0920167528 13.7895509431 0.0
126.4 22.1937353697 21.0937353697 13.7543801378 0.0
126.5 22.1954526276 21.0954526276 13.7193075791 0.0
126.6 22.1971685284 21.0971685284 13.6843330335 0.0
126.7 22.1988830744 21.0988830744 13.6494562673 0.000115021854152
126.8 22.2005962677 21.1005962677 13.6146770465 0.0
126.9 22.2023081105 21.1023081105 13.5799951372 0.0
127.0 22.2040186048 21.1040186048 13.5454103053 0.0
127.1 22.2057277528 21.1057277528 13.5109223165 0.0
127.2 22.2074355566 21.1074355566 13.4765309364 0.000114810562572
127.3 22.2091420183 21.1091420183 13.4422359305 0.0
127.4 22.21084714 21.11084714 13.4080370643 0.0
127.5 22.2125509238 21.1125509238 13.3739341032 0.000116049669258
127.6 22.2142533719 21.1142533719 13.3399268124 0.000115874855156
127.7 22.2159544863 21.1159544863 13.3060149571 0.0
127.8 22.2176542691 21.1176542691 13.2721983025 0.0
127.9 22.2193527224 21.1193527224 13.2384766138 0.0
128.0 22.2210498482 21.1210498482 13.2048496559 0.0
128.1 22.2227456487 21.1227456487 13.1713171939 0.000115647045218
128.2 22.2244401259 21.1244401259 13.1378789928 0.0
128.3 22.2261332819 21.1261332819 13.1045348176 0.0
128.4 22.2278251187 21.1278251187 13.0712844334 0.0
128.5 22.2295156383 21.1295156383 13.0381276052 0.00011592858799
128.6 22.2312048429 21.1312048429 13.0050640979 0.0
128.7 22.2328927345 21.1328927345 12.9720936766 0.0
128.8 22.2345793151 21.1345793151 12.9392161063 0.0
128.9 22.2362645868 21.1362645868 12.9064311521 0.00011693171188
129.0 22.2379485515 21.1379485515 12.8737385793 0.0
129.1 22.2396312113 21.1396312113 12.8411381528 0.0
129.2 22.2413125683 21.1413125683 12.8086296381 0.0
129.3 22.2429926244 21.1429926244 12.7762128004 0.0
129.4 22.2446713817 21.1446713817 12.7438874051 0.0
129.5 22.2463488421 21.1463488421 12.7116532176 0.0
129.6 22.2480250077 21.1480250077 12.6795100035 0.0
129.7 22.2496998804 21.1496998804 12.6474575285 0.000115700566933
129.8 22.2513734623 21.1513734623 12.6154955582 0.000117192077816
129.9 22.2530457554 21.1530457554 12.5836238585 0.0
130.0 22.2547167615 21.1547167615 12.5518421954 0.0
130.1 22.2563864828 21.1563864828 12.5201503349 0.0
130.2 22.2580549212 21.1580549212 12.4885480433 0.0
130.3 22.2597220786 21.1597220786 12.4570350869 0.000117481203008
130.4 22.261387957 21.161387957 12.4256112321 0.0
130.5 22.2630525584 21.1630525584 12.3942762456 0.0
130.6 22.2647158847 21.1647158847 12.3630298942 0.0
130.7 22.2663779379 21.1663779379 12.3318719448 0.0
130.8 22.2680387199 21.1680387199 12.3008021645 0.0
130.9 22.2696982328 21.1696982328 12.2698203205 0.000116117045982
131.0 22.2713564783 21.1713564783 12.2389261804 0.000116400884647
131.1 22.2730134585 21.1730134585 12.2081195117 0.0
131.2 22.2746691752 21.1746691752 12.1774000823 0.00011739845034
131.3 22.2763236304 21.1763236304 12.1467676601 0.000117205813408
131.4 22.2779768261 21.1779768261 12.1162220134 0.0
131.5 22.2796287641 21.1796287641 12.0857629106 0.000234137204402
131.6 22.2812794464 21.1812794464 12.0553901203 0.000117522623105
131.7 22.2829288748 21.1829288748 12.0251034114 0.000234741784038
131.8 22.2845770513 21.1845770513 11.9949025529 0.0
131.9 22.2862239777 21.1862239777 11.964787314 0.000117412234355
132.0 22.287869656 21.187869656 11.9347574644 0.000117041198502
132.1 22.2895140881 21.1895140881 11.9048127737 0.000117577895356
132.2 22.2911572757 21.1911572757 11.8749530119 0.000118035882908
132.3 22.2927992209 21.1927992209 11.8451779494 0.000117274539697
132.4 22.2944399255 21.1944399255 11.8154873565 0.0
132.5 22.2960793914 21.1960793914 11.785881004 0.000117757889779
132.6 22.2977176203 21.1977176203 11.7563586629 0.000117205813408
132.7 22.2993546143 21.1993546143 11.7269201045 0.000117453605826
132.8 22.3009903752 21.2009903752 11.6975651004 0.000118161408484
132.9 22.3026249047 21.2026249047 11.6682934222 0.0
133.0 22.3042582048 21.2042582048 11.6391048422 0.0
133.1 22.3058902774 21.2058902774 11.6099991327 0.000118273211118
133.2 22.3075211242 21.2075211242 11.5809760663 0.000235932523298
133.3 22.3091507471 21.2091507471 11.552035416 0.000117082308863
133.4 22.3107791479 21.2107791479 11.5231769551 0.000117633219621
133.5 22.3124063285 21.2124063285 11.494400457 0.000353773584906
133.6 22.3140322907 21.2140322907 11.4657056957 0.00047270148901
133.7 22.3156570363 21.2156570363 11.4370924452 0.000236882624659
133.8 22.3172805672 21.2172805672 11.4085604801 0.000353898784948
133.9 22.3189028851 21.2189028851 11.3801095751 0.000235904694503
134.0 22.3205239918 21.2205239918 11.3517395054 0.000354107648725
134.1 22.3221438893 21.2221438893 11.3234500462 0.000461947107056
134.2 22.3237625792 21.2237625792 11.2952409735 0.00011798017933
134.3 22.3253800633 21.2253800633 11.2671120632 0.00011862396204
134.4 22.3269963436 21.2269963436 11.2390630918 0.00047460844803
134.5 22.3286114217 21.2286114217 11.2110938359 0.000232099338517
134.6 22.3302252994 21.2302252994 11.1832040728 0.000354442344045
134.7 22.3318379786 21.2318379786 11.1553935798 0.000237925291458
134.8 22.333449461 21.233449461 11.1276621347 0.000473260766682
134.9 22.3350597484 21.2350597484 11.1000095156 0.000236966824645
135.0 22.3366688425 21.2366688425 11.0724355011 0.0004743270485
135.1 22.3382767451 21.2382767451 11.0449398698 0.00069848661234
135.2 22.339883458 21.239883458 11.0175224011 0.000462214005084
135.3 22.341488983 21.241488983 10.9901828745 0.000925283368031
135.4 22.3430933217 21.2430933217 10.9629210698 0.000118105586394
135.5 22.3446964761 21.2446964761 10.9357367675 0.000694283730618
135.6 22.3462984477 21.2462984477 10.9086297481 0.000812064965197
135.7 22.3478992383 21.2478992383 10.8815997927 0.000238095238095
135.8 22.3494988497 21.2494988497 10.8546466827 0.000462534690102
135.9 22.3510972837 21.2510972837 10.8277701998 0.000928397354068
136.0 22.3526945419 21.2526945419 10.8009701264 0.000809810273022
136.1 22.354290626 21.254290626 10.7742462448 0.000580652653583
136.2 22.3558855379 21.2558855379 10.7475983381 0.000694685654741
136.3 22.3574792792 21.2574792792 10.7210261896 0.00116117045982
136.4 22.3590718516 21.2590718516 10.694529583 0.00115713955103
136.5 22.3606632569 21.2606632569 10.6681083025 0.00139291932676
136.6 22.3622534967 21.2622534967 10.6417621325 0.000699463744463
136.7 22.3638425728 21.2638425728 10.615490858 0.000581395348837
136.8 22.3654304869 21.2654304869 10.5892942643 0.000814711359404
136.9 22.3670172407 21.2670172407 10.5631721371 0.000693721817551
137.0 22.3686028358 21.2686028358 10.5371242625 0.0010462683097
137.1 22.3701872739 21.2701872739 10.5111504272 0.00104638995466
137.2 22.3717705569 21.2717705569 10.4852504179 0.00116373792622
137.3 22.3733526862 21.2733526862 10.4594240222 0.00140894681226
137.4 22.3749336636 21.2749336636 10.4336710278 0.000815185745895
137.5 22.3765134908 21.2765134908 10.4079912228 0.000930557171106
137.6 22.3780921695 21.2780921695 10.3823843959 0.000583430571762
137.7 22.3796697013 21.2796697013 10.3568503361 0.000933380002333
137.8 22.3812460879 21.2812460879 10.3313888328 0.00163742690058
137.9 22.3828213309 21.2828213309 10.305999676 0.00128145386766
138.0 22.384395432 21.284395432 10.2806826559 0.001386001386
138.1 22.3859683929 21.2859683929 10.2554375633 0.00140597539543
138.2 22.3875402152 21.2875402152 10.2302641894 0.00117564072419
138.3 22.3891109005 21.2891109005 10.2051623256 0.00211491011632
138.4 22.3906804506 21.2906804506 10.1801317642 0.00141509433962
138.5 22.392248867 21.292248867 10.1551722974 0.0012936610608
138.6 22.3938161514 21.2938161514 10.1302837182 0.00164068908942
138.7 22.3953823054 21.2953823054 10.10546582 0.00116795141322
138.8 22.3969473306 21.2969473306 10.0807183964 0.00118413262285
138.9 22.3985112287 21.2985112287 10.0560412418 0.00129686394718
139.0 22.4000740013 21.3000740013 10.0314341507 0.00141159863545
139.1 22.40163565 21.30163565 10.0068969183 0.00152743508401
139.2 22.4031961764 21.3031961764 9.98242934014 0.00233890773009
139.3 22.4047555821 21.3047555821 9.95803121213 0.0014012143858
139.4 22.4063138688 21.3063138688 9.93370233074 0.00246710526316
139.5 22.407871038 21.307871038 9.90944249285 0.00234714235418
139.6 22.4094270914 21.3094270914 9.88525149578 0.00223950966525
139.7 22.4109820306 21.3109820306 9.86112913733 0.00232288037166
139.8 22.412535857 21.312535857 9.83707521572 0.00258397932817
139.9 22.4140885725 21.3140885725 9.81308952963 0.00141492748497
140.0 22.4156401784 21.3156401784 9.7891718782 0.00224745682517
140.1 22.4171906764 21.3171906764 9.76532206103 0.00224453632605
140.2 22.4187400682 21.3187400682 9.74153987817 0.00246507806081
140.3 22.4202883551 21.3202883551 9.71782513012 0.00293737516156
140.4 22.421835539 21.321835539 9.69417761785 0.00282952133931
140.5 22.4233816212 21.3233816212 9.67059714277 0.00175438596491
140.6 22.4249266034 21.3249266034 9.64708350677 0.00307292282236
140.7 22.4264704872 21.3264704872 9.6236365122 0.00271610769957
140.8 22.428013274 21.328013274 9.60025596186 0.00320322695456
140.9 22.4295549655 21.3295549655 9.576941659 0.00200495341432
141.0 22.4310955633 21.3310955633 9.55369340738 0.00388555280819
141.1 22.4326350688 21.3326350688 9.53051101116 0.00260694395071
141.2 22.4341734836 21.3341734836 9.50739427502 0.00369179468858
141.3 22.4357108092 21.3357108092 9.48434300407 0.00281756280817
141.4 22.4372470473 21.3372470473 9.46135700391 0.00199694584753
141.5 22.4387821993 21.3387821993 9.43843608058 0.00352899658864
141.6 22.4403162668 21.3403162668 9.41558004061 0.00390671244229
141.7 22.4418492512 21.3418492512 9.39278869099 0.0035394053799
141.8 22.4433811542 21.3433811542 9.37006183917 0.00510144927536
141.9 22.4449119773 21.3449119773 9.34739929308 0.00403130187337
142.0 22.4464417219 21.3464417219 9.32480086111 0.00485666903577
142.1 22.4479703896 21.3479703896 9.30226635213 0.0038818962475
142.2 22.449497982 21.349497982 9.27979557547 0.0045162823865
142.3 22.4510245004 21.3510245004 9.25738834094 0.00440069484655
142.4 22.4525499465 21.3525499465 9.23504445881 0.00522223511663
142.5 22.4540743217 21.3540743217 9.21276373983 0.00400990682864
142.6 22.4555976276 21.3555976276 9.19054599523 0.00368696479543
142.7 22.4571198656 21.3571198656 9.16839103668 0.00473428808143
142.8 22.4586410372 21.3586410372 9.14629867636 0.00412979351032
142.9 22.460161144 21.360161144 9.1242687269 0.0041552890894
143.0 22.4616801873 21.3616801873 9.10230100142 0.00569327481912
143.1 22.4631981688 21.3631981688 9.08039531348 0.00730858468677
143.2 22.4647150899 21.3647150899 9.05855147715 0.00416072277699
143.3 22.466230952 21.366230952 9.03676930697 0.0076726342711
143.4 22.4677457567 21.3677457567 9.01504861792 0.0064874884152
143.5 22.4692595054 21.3692595054 8.99338922549 0.00671996292434
143.6 22.4707721995 21.3707721995 8.97179094564 0.00525210084034
143.7 22.4722838407 21.3722838407 8.95025359479 0.00700607192901
143.8 22.4737944302 21.3737944302 8.92877698983 0.00641863782242
143.9 22.4753039697 21.3753039697 8.90736094815 0.00629590766002
144.0 22.4768124605 21.3768124605 8.88600528759 0.00846361819678
144.1 22.4783199041 21.3783199041 8.86470982648 0.0085032032615
144.2 22.4798263019 21.3798263019 8.84347438362 0.00698242755731
144.3 22.4813316555 21.3813316555 8.82229877829 0.00816802800467
144.4 22.4828359662 21.3828359662 8.80118283022 0.00897749795966
144.5 22.4843392355 21.3843392355 8.78012635965 0.00837598883201
144.6 22.4858414648 21.3858414648 8.75912918727 0.0056838365897
144.7 22.4873426556 21.3873426556 8.73819113426 0.00874839612738
144.8 22.4888428093 21.3888428093 8.71731202226 0.00873413299173
144.9 22.4903419274 21.3903419274 8.6964916734 0.00743235396586
145.0 22.4918400112 21.3918400112 8.67572991026 0.00927012438395
145.1 22.4933370622 21.3933370622 8.65502655594 0.0130338647737
145.2 22.4948330818 21.3948330818 8.63438143395 0.0111189138577
