# r frac rho dNdR
0.0 0.0 inf nan
0.1 0.0 15135612.4844 0.0
0.2 0.0 1494719.89288 0.0
0.3 0.0 385846.894561 0.0
0.4 0.0 147611.308129 0.0
0.5 0.0 70055.1690683 0.0
0.6 0.0 38104.3733446 0.0
0.7 0.0 22770.4989143 0.0
0.8 0.0 14577.3789401 0.0
0.9 0.0 9836.26042196 0.0
1.0 0.0 6918.30970919 0.0
1.1 0.0 5032.09036632 0.0
1.2 0.0 3763.00363811 0.0
1.3 0.0 2880.24348735 0.0
1.4 0.0 2248.70435425 0.0
1.5 0.0 1785.89201202 0.0
1.6 0.0 1439.59144767 0.0
1.7 0.0 1175.71105713 0.0
1.8 0.0 971.381510949 0.0
1.9 0.0 810.89191969 0.0
2.0 0.0 683.218809816 0.0
2.1 0.0 580.48039369 0.0
2.2 0.0 496.944909303 0.0
2.3 0.0150810314735 428.379843363 429.462858131
2.4 0.0622682900329 371.61604135 1674.91873223
2.5 0.117217361258 324.250288401 2985.1227407
2.6 0.145823762775 284.438917904 3523.49677343
2.7 0.178324317708 250.752359168 4096.31165427
2.8 0.210546101265 222.071167253 4606.43880324
2.9 0.205814819134 197.510726754 4296.088196
3.0 0.290198870508 176.366058503 5788.46085223
3.1 0.266589536511 158.070906033 5088.95128923
3.2 0.318729786427 142.167089483 5830.84564413
3.3 0.341940017102 128.281326111 6002.76184873
3.4 0.337577599344 116.107538243 5693.79380542
3.5 0.385189571986 105.393234192 6249.32636406
3.6 0.390629867335 95.9289404037 6102.81154478
3.7 0.400355537111 87.5399393963 6029.27916944
3.8 0.425134355449 80.0797645014 6177.68907908
3.9 0.421329090533 73.4250435072 5912.95721436
4.0 0.464421686584 67.4713855996 6300.31069599
4.1 0.45868714801 62.1300808206 6019.99413008
4.2 0.472187265703 57.3254364677 6000.2602212
4.3 0.464327094215 52.9926159041 5717.23652691
4.4 0.470081984651 49.0758760087 5612.50686473
4.5 0.474512005638 45.5271227096 5497.33623393
4.6 0.468752906945 42.3047216783 5273.0069478
4.7 0.473206260006 39.3725147615 5171.88924084
4.8 0.479611891218 36.6990031022 5096.08365003
4.9 0.466651484071 34.2566659486 4823.24994607
5.0 0.483841466728 32.0213904026 4867.35636295
5.1 0.473154315144 29.9719922641 4635.20165837
5.2 0.461066690673 28.0898119808 4400.77466468
5.3 0.493672896352 26.358372763 4593.24364648
5.4 0.467992837575 24.7630903487 4246.60075175
5.5 0.476181159005 23.2910258335 4215.95598197
5.6 0.482646336783 21.930674538 4171.25674705
5.7 0.474956821867 20.6717851266 4008.59044835
5.8 0.487869390126 19.5052042089 4022.72109693
5.9 0.479074951057 18.4227424674 3860.74957514
6.0 0.473828644235 17.4170590285 3733.43418691
6.1 0.480168277231 16.4815613377 3700.50801935
6.2 0.47352951436 15.6103182462 3570.68922639
6.3 0.485539154108 14.7979843888 3583.58561928
6.4 0.474586572406 14.0397342348 3429.60532915
6.5 0.483399379257 13.3312044473 3421.46462801
6.6 0.477626991153 12.668443396 3312.14889264
6.7 0.481201036313 12.0478668447 3270.36466954
6.8 0.479646859002 11.4662189789 3195.7259247
6.9 0.479802030729 10.9205380638 3134.83122654
7.0 0.479822545063 10.4081261253 3075.09927143
7.1 0.481569644846 9.92652213338 3028.18762707
7.2 0.480023125028 9.47347824028 2962.4189609
7.3 0.482211520546 9.04693869066 2921.42548417
7.4 0.481360139753 8.64502107014 2863.58107889
7.5 0.482780256715 8.26599960651 2820.83232938
7.6 0.482261587654 7.90829027505 2768.23096266
7.7 0.483285215134 7.57043749245 2725.9369185
7.8 0.483192510514 7.25110221201 2678.6951448
7.9 0.483405540327 6.94905125688 2634.51809146
8.0 0.483951915959 6.66314774904 2593.41187445
8.1 0.483690672918 6.39234250933 2549.22196363
8.2 0.484556328135 6.13566631971 2512.13845442
8.3 0.484184854531 5.89222295194 2469.76948634
8.4 0.484649468067 5.66118287876 2432.78293704
8.5 0.4846900087 5.44177759359 2394.70803239
8.6 0.484810834193 5.23329447349 2358.0567669
8.7 0.485075072255 5.035072128 2323.07388429
8.8 0.485139082019 4.84649618285 2288.07020303
8.9 0.485312203236 4.66699545352 2254.49079771
9.0 0.48562710996 4.49603846885 2222.4286367
9.1 0.485516504645 4.33313030902 2189.26531356
9.2 0.486012643292 4.17780972659 2159.64188946
9.3 0.486023159229 4.02964652247 2128.62754163
9.4 0.486076560965 3.88823915169 2098.56883828
9.5 0.486494783142 3.7532125369 2070.80125956
9.6 0.486014531654 3.62421606937 2039.93188608
9.7 0.486305992235 3.50092177986 2013.00735208
9.8 0.486459719634 3.38302266326 1986.15806337
9.9 0.486659451145 3.27023114269 1960.1254397
10.0 0.486844058693 3.16227766017 1934.63810911
10.1 0.487000651456 3.05890938238 1909.62796224
10.2 0.487245537878 2.95988901094 1885.53025078
10.3 0.487368581381 2.86499368796 1861.51059122
10.4 0.487592565922 2.77401398841 1838.40953944
10.5 0.487776239644 2.68675299152 1815.66969365
10.6 0.487882220403 2.60302542454 1793.14329345
10.7 0.48811639813 2.52265687247 1771.57278425
10.8 0.488289199673 2.44548304811 1750.24622663
10.9 0.48842600455 2.37134911744 1729.24741515
11.0 0.488587349329 2.30010907552 1708.77894359
11.1 0.488743214764 2.23162516885 1688.72064814
11.2 0.488859204397 2.16576736025 1668.94302289
11.3 0.488974870161 2.10241283286 1649.57205148
11.4 0.489125023292 2.04144553 1630.71191643
11.5 0.489229617829 1.98275572814 1612.08337479
11.6 0.489297325839 1.92623964017 1593.70891
11.7 0.489364175669 1.87179904675 1575.69799558
11.8 0.489419886237 1.81934095338 1558.0076507
11.9 0.489446030508 1.76877727132 1540.5710995
12.0 0.489408401528 1.72002452046 1523.27535181
12.1 0.489378161846 1.67300355245 1506.33668578
12.2 0.48930844105 1.6276392926 1489.60252138
12.3 0.488895661045 1.58386049908 1472.15384502
12.4 0.488665107478 1.54159953823 1455.58018814
12.5 0.488474244942 1.50079217461 1439.43519375
12.6 0.488210245055 1.46137737493 1423.37791273
12.7 0.487933952631 1.4232971247 1407.58268961
12.8 0.487600754781 1.38649625664 1391.91550915
12.9 0.4871812392 1.35092229022 1376.29080377
13.0 0.486602946819 1.31652528128 1360.50614149
13.1 0.486015050669 1.28325768123 1344.98068116
13.2 0.485429952186 1.25107420498 1329.74193827
13.3 0.484848819634 1.21993170716 1314.78580857
13.4 0.484261056609 1.18978906589 1300.07671368
13.5 0.483396136319 1.16060707381 1284.88952659
13.6 0.482660672868 1.13234833552 1270.3097774
13.7 0.482108689627 1.10497717145 1256.46172493
13.8 0.481580458209 1.07845952727 1242.91303833
13.9 0.481006077399 1.05276288888 1229.47752814
14.0 0.480287659963 1.02785620226 1215.90522484
14.1 0.479626179195 1.00370979816 1202.70504583
14.2 0.479111059365 0.980295321062 1190.08965042
14.3 0.478570221672 0.957585662314 1177.62019726
14.4 0.478089934748 0.935554897107 1165.50388414
14.5 0.477581684225 0.914178225018 1153.5180743
14.6 0.477077951985 0.89343191394 1141.73781009
14.7 0.476578663225 0.873293247163 1130.15817338
14.8 0.476109185587 0.853740473417 1118.83418091
14.9 0.475621215003 0.834752759686 1107.64727235
15.0 0.475149143636 0.816310146624 1096.67395061
15.1 0.474664730501 0.798393506416 1085.8447046
15.2 0.474190509956 0.780984502937 1075.20757232
15.3 0.473704726291 0.76406555406 1064.7093417
15.4 0.473260872167 0.74761979599 1054.46628372
15.5 0.472799710813 0.731631049509 1044.34163079
15.6 0.47236733328 0.716083788004 1034.43393292
15.7 0.471911100127 0.700963107188 1024.62399609
15.8 0.471485643096 0.686254696399 1015.02757402
15.9 0.471058663085 0.671944811404 1005.57093635
16.0 0.470628749992 0.658020248599 996.248180661
16.1 0.47019652083 0.644468320544 987.057837843
16.2 0.469776628759 0.631276832744 978.027691704
16.3 0.469369596852 0.618434061613 969.155420498
16.4 0.468888153243 0.605928733547 960.25895914
16.5 0.468250851546 0.593750005048 951.173965238
16.6 0.467851318652 0.581887443843 942.698647369
16.7 0.467448920033 0.570331010931 934.337873605
16.8 0.467082487015 0.55907104353 926.166376812
16.9 0.466660478964 0.548098238839 918.00004458
17.0 0.466296361984 0.537403638613 910.060650285
17.1 0.465906475782 0.526978614468 902.181304124
17.2 0.465530151219 0.5168148539 894.436594829
17.3 0.465158285176 0.506904346979 886.80645701
17.4 0.464804410177 0.497239373667 879.314250217
17.5 0.464415254479 0.487812491739 871.857193554
17.6 0.464065348198 0.47861652528 864.573719201
17.7 0.463697535513 0.469644553708 857.354585099
17.8 0.463352452599 0.46088990132 850.273271342
17.9 0.462995944292 0.452346127312 843.26483319
18.0 0.462651792383 0.444007016265 836.37098144
18.1 0.462298640485 0.435866569063 829.551188694
18.2 0.461965328621 0.427918994227 822.855518843
18.3 0.461618384642 0.420158699638 816.222384101
18.4 0.461287535553 0.412580284639 809.702911479
18.5 0.460957242206 0.405178532482 803.267860218
18.6 0.460618789975 0.39794840312 796.900627664
18.7 0.460312463776 0.39088502631 790.669243947
18.8 0.459976623751 0.38398369503 784.465967238
18.9 0.459654827051 0.377239859178 778.364233714
19.0 0.459343771672 0.370649119544 772.356615565
19.1 0.459025635239 0.364207222052 766.411640289
19.2 0.458724207106 0.35791005224 760.56769738
19.3 0.458401459117 0.351753629988 754.760322361
19.4 0.458106160578 0.345734104462 749.068747831
19.5 0.457797102791 0.339847749277 743.423909845
19.6 0.457349353494 0.334090957868 737.62359074
19.7 0.456937123952 0.328460239048 731.950252265
19.8 0.456641435079 0.322952212758 726.530457356
19.9 0.456309500052 0.317563605991 721.117860505
20.0 0.455858078849 0.312291248889 715.581865041
20.1 0.45541490495 0.307132070996 710.124321456
20.2 0.454952003135 0.302083097666 704.7005501
20.3 0.454666185248 0.297141446621 699.612932597
20.4 0.454393837587 0.292304324646 694.604947863
20.5 0.454117751777 0.287569024419 689.649092897
20.6 0.453855930175 0.282932921465 684.771699139
20.7 0.453564994171 0.278393471238 679.906400799
20.8 0.453170323807 0.273948206316 674.942004861
20.9 0.452775839609 0.269594733706 670.034376833
21.0 0.452508910155 0.265330732259 665.369890564
21.1 0.452247823323 0.261153950181 660.766260347
21.2 0.451793264878 0.257062202652 655.933123754
21.3 0.451250403449 0.253053369522 651.026697506
21.4 0.450712480045 0.249125393113 646.182201215
21.5 0.450472632065 0.245276276092 641.816294482
21.6 0.450211906302 0.241504079434 637.468623778
21.7 0.449982521555 0.237806920461 633.212479841
21.8 0.44971668842 0.234182970954 628.951513558
21.9 0.44936292629 0.230630455337 624.614395463
22.0 0.44899785768 0.227147648932 620.308511829
22.1 0.448759470605 0.223732876275 616.222915358
22.2 0.44851362094 0.220384509498 612.170665611
22.3 0.448285345153 0.217100966774 608.185258324
22.4 0.448054872689 0.213880710811 604.238959983
22.5 0.447814825967 0.210722247409 600.32130656
22.6 0.447603117071 0.207624124069 596.482433043
22.7 0.447357793828 0.20458492865 592.638993882
22.8 0.447150396413 0.201603288077 588.885402687
22.9 0.446919263357 0.198677867096 585.139467234
23.0 0.44668856734 0.19580736707 581.432630274
23.1 0.44648503017 0.192990524827 577.798903489
23.2 0.446265553267 0.190226111536 574.18167741
23.3 0.446037107825 0.187512931638 570.589691119
