# N l b R fracMedian appU appV Au Av SNR
1 95.3440734471 -61.2835329394 131.3 0.000129929973681 22.4689803259 21.3584972603 0.19265669547 0.182173629887 6.99360775059
2 99.9082712555 -62.1733175948 133.2 0.000128389046547 22.4689747739 21.3601895656 0.161453649756 0.152668441461 6.98974587859
3 104.722343218 -62.9063377544 120.4 0.000114986500159 22.4707169554 21.3498993108 0.382584520802 0.361766876169 6.99810195178
4 109.752610824 -63.4695115428 136.7 0.000125628974792 22.4676277551 21.3619804721 0.103785182228 0.0981378992768 6.99744652904
5 114.950797418 -63.851798131 136.6 0.000123700106341 22.4688573656 21.3630567089 0.106603868874 0.100803212187 6.98414533387
6 120.255752214 -64.0451605136 135.8 0.00012149207443 22.4678714368 21.3614304066 0.11837258704 0.111931556843 6.99657805707
7 125.597410955 -64.0453544449 130.6 0.000116288479835 22.4694880722 21.3583457641 0.204772187546 0.193629879378 6.98948995605
8 130.902511204 -63.8523756065 124.2 0.000107687881235 22.469600131 21.3525148161 0.313992151823 0.296906836869 7.0019427036
9 136.100976192 -63.4704600701 117.2 9.18682708247e-05 22.4709464051 21.3469334097 0.441308346689 0.417295351297 7.0028774557
10 141.131632624 -62.9076379538 128.1 0.000108434649077 22.4697600547 21.3563192126 0.247014405951 0.233573563881 6.9917702911
11 145.946175613 -62.174945011 133.0 0.000111173297538 22.4686564418 21.3597110091 0.164398236983 0.155452804301 6.99365233544
12 150.510897182 -61.285460022 134.9 0.000111167298706 22.4691131895 21.3618189139 0.134053441091 0.126759165586 6.98476204638
13 154.806344861 -60.2533398708 134.5 0.000109400285655 22.4689246335 21.3612897439 0.140313211856 0.132678322249 6.98764277357
14 158.825506669 -59.0929815161 133.1 0.000106934926465 22.4682464707 21.3594121521 0.162356193308 0.153521874739 6.99795157513
15 162.571242354 -57.8183786026 133.6 0.000106031326374 22.4692082717 21.3607646514 0.155175980981 0.146732360678 6.98636385403
16 166.053571238 -56.4426853059 133.7 0.000104910089705 22.4690273829 21.3606820129 0.153370346567 0.145024976593 6.98814490188
17 169.2872162 -54.9779637259 133.1 0.000103274660491 22.4692780258 21.3603875771 0.163387748469 0.154497299692 6.98662210953
18 172.289596996 -53.4350746099 134.1 0.000103041369059 22.4681901289 21.3602432869 0.146046239631 0.138099397688 6.99652375597
19 175.079315573 -51.8236690122 128.3 9.58622415151e-05 22.4696591125 21.356408095 0.243525830656 0.230274813101 6.99245407741
20 177.675089027 -50.1522441887 121.0 8.33006965977e-05 22.4719177711 21.3516221449 0.372990919538 0.352695293363 6.98356678453
21 180.095048524 -48.4282355136 123.3 8.65180981936e-05 22.4697519524 21.3517990508 0.329936569408 0.311983667813 7.00225062262
22 182.356316143 -46.6581246767 123.7 8.62215617231e-05 22.470807056 21.3531794371 0.323958557844 0.306330938935 6.98977570407
23 184.474781271 -44.847551209 119.8 7.80479740284e-05 22.4711707808 21.349738149 0.393886690512 0.372454058759 6.99446830763
24 186.465013201 -43.0014196943 98.1 0.0 22.4758857918 21.3305845926 0.832540754899 0.787239555724 6.99634479747
25 188.340262259 -41.1239985192 113.3 5.89336791394e-05 22.472676388 21.3445705144 0.51652683869 0.48842096512 6.99300227362
26 190.112515163 -39.2190083668 90.9 0.0 22.4775209617 21.3231240105 0.999701545611 0.94530459439 6.99861892801
27 191.792580882 -37.2897000867 84.1 0.0 22.4782797475 21.3146544158 1.16929976851 1.10567443678 7.01081485423
28 193.390191205 -35.3389223841 96.6 0.0 22.4773574611 21.3301555507 0.867471828982 0.820269918598 6.98427782024
