# R appU appV SNR contamination
120.0 22.0809062302 20.9809062302 12.5588094484 0.0
120.1 22.082715037 20.982715037 12.5264190713 0.0
120.2 22.0845223383 20.9845223383 12.4941155347 0.0
120.3 22.0863281367 20.9863281367 12.4618986853 0.0
120.4 22.0881324346 20.9881324346 12.4297683692 0.0
120.5 22.0899352346 20.9899352346 12.3977244317 0.0
120.6 22.091736539 20.991736539 12.3657667172 0.000116945386505
120.7 22.0935363505 20.9935363505 12.3338950694 0.0
120.8 22.0953346714 20.9953346714 12.3021093312 0.000116945386505
120.9 22.0971315043 20.9971315043 12.2704093447 0.0
121.0 22.0989268516 20.9989268516 12.2387949515 0.000117716303708
121.1 22.1007207157 21.0007207157 12.2072659921 0.0
121.2 22.1025130992 21.0025130992 12.1758223067 0.0
121.3 22.1043040043 21.0043040043 12.1444637346 0.000117041198502
121.4 22.1060934337 21.0060934337 12.1131901143 0.0
121.5 22.1078813897 21.0078813897 12.0820012839 0.000117481203008
121.6 22.1096678747 21.0096678747 12.0508970806 0.00011739845034
121.7 22.1114528912 21.0114528912 12.0198773411 0.000118175372252
121.8 22.1132364415 21.0132364415 11.9889419016 0.000117219552221
121.9 22.1150185281 21.0150185281 11.9580905973 0.000238123586141
122.0 22.1167991534 21.0167991534 11.9273232633 0.000116767865483
122.1 22.1185783197 21.0185783197 11.8966397336 0.000235682300259
122.2 22.1203560295 21.0203560295 11.8660398421 0.000354191263282
122.3 22.1221322852 21.0221322852 11.8355234217 0.000117633219621
122.4 22.123907089 21.023907089 11.8050903051 0.000117647058824
122.5 22.1256804435 21.0256804435 11.7747403243 0.0
122.6 22.1274523509 21.0274523509 11.7444733108 0.000117068602201
122.7 22.1292228136 21.0292228136 11.7142890955 0.000117994100295
122.8 22.130991834 21.030991834 11.684187509 0.000351782363977
122.9 22.1327594144 21.0327594144 11.6541683812 0.000468768311262
123.0 22.1345255572 21.0345255572 11.6242315416 0.0
123.1 22.1362902647 21.0362902647 11.5943768193 0.000118259224219
123.2 22.1380535391 21.0380535391 11.564604043 0.0
123.3 22.139815383 21.039815383 11.5349130406 0.0
123.4 22.1415757985 21.0415757985 11.5053036399 0.000119104335398
123.5 22.143334788 21.043334788 11.4757756683 0.0
123.6 22.1450923538 21.0450923538 11.4463289526 0.000118764845606
123.7 22.1468484981 21.0468484981 11.4169633192 0.000236490481258
123.8 22.1486032234 21.0486032234 11.3876785942 0.000473036896878
123.9 22.1503565319 21.0503565319 11.3584746034 0.000345861194374
124.0 22.1521084258 21.0521084258 11.3293511721 0.000234219463637
124.1 22.1538589075 21.0538589075 11.3003081253 0.000476814876624
124.2 22.1556079792 21.0556079792 11.2713452875 0.000118962645729
