# N l b R fracMedian appU appV Au Av SNR
54 223.983057615 18.0515688863 107.0 3.58406742859e-05 22.1057191808 20.9908208332 0.273800292369 0.258901944743 7.02912118151
55 225.194444723 20.0891323986 110.3 5.41470583523e-05 22.1066844255 20.9953225778 0.208806863334 0.197445015581 7.01183778541
56 226.439565085 22.117220015 111.5 5.94989247769e-05 22.1046015474 20.9946315702 0.183227210492 0.173257233277 7.02993056521
57 227.722836381 24.134581676 112.2 6.28953323791e-05 22.1046432598 20.9954104853 0.169678975176 0.160446200678 7.02793482268
58 229.049043648 26.1398441487 115.0 7.03664590057e-05 22.105592797 20.9992208167 0.117103595212 0.11073161491 7.01222724926
59 230.423391035 28.1314909743 113.7 6.93554603469e-05 22.1048076524 20.9971351025 0.141005328987 0.133332779078 7.02294015262
60 231.851558133 30.1078393858 113.1 6.97248873558e-05 22.1052200106 20.9968998535 0.152906985953 0.14458682891 7.02015355416
61 233.339760929 32.0670137908 112.5 6.98939921896e-05 22.1042727278 20.9953756206 0.163510115538 0.154613008378 7.03096759421
62 234.894816926 34.0069151868 113.4 7.41438929667e-05 22.1050406053 20.9970432085 0.146975332536 0.138977935683 7.0212783526
63 236.524213507 35.9251859282 113.1 7.55628115153e-05 22.104687276 20.9963961067 0.152374251354 0.1440830821 7.02547890459
64 238.236177735 37.8191691973 103.3 0.0 22.1079085502 20.9887329639 0.352406942621 0.333231356315 7.01605860838
65 240.039744541 39.685862543 110.6 7.03275848497e-05 22.104822521 20.9938829183 0.201046886127 0.190107283497 7.02976311555
66 241.944818463 41.5218649168 109.0 6.00195037335e-05 22.1057696516 20.9930567081 0.233637161907 0.220924218373 7.02395989269
67 243.962221557 43.323316812 106.0 0.0 22.1057688944 20.9897583806 0.294239568114 0.278229054272 7.03098308796
68 246.103716625 45.0858334535 106.8 0.0 22.1075107216 20.9922938302 0.279654458165 0.264437566698 7.01168458868
69 248.381990247 46.8044315834 103.9 0.0 22.1076240781 20.9891482782 0.339546340331 0.321070540436 7.01745118737
70 250.810574103 48.4734513582 108.6 6.0733380695e-05 22.1051462679 20.9920328444 0.240997141674 0.227883718155 7.03112004924
71 253.40367583 50.0864763625 109.8 7.94464069848e-05 22.1065677933 20.9946754589 0.218556092773 0.206663758336 7.01414494616
72 256.1758826 51.6362569534 108.5 0.0 22.1063969136 20.9931065884 0.24424822269 0.230957897479 7.01884607729
73 259.141692874 53.1146450984 110.4 9.32021132073e-05 22.1050301305 20.9938653727 0.205184763521 0.194020005777 7.02814243775
74 262.314827432 54.5125529445 109.2 6.44395593117e-05 22.1055291508 20.9930458964 0.229415958915 0.216932704506 7.02590347382
75 265.707273539 55.8199519056 112.6 0.000118704696931 22.1057833661 20.9969090419 0.163091413528 0.15421708928 7.01564188479
76 269.328033313 57.0259339652 116.9 0.000126833741832 22.1050990091 21.0006901012 0.0810264532827 0.076617545398 7.01302036058
77 273.181586712 58.1188605231 115.1 0.000130519471399 22.1049249942 20.9986920516 0.114548376082 0.108315433406 7.01867802861
78 277.266148224 59.0866243971 114.0 0.000134405708458 22.1050659402 20.9976906847 0.135541683519 0.128166427995 7.01969369043
79 281.571894525 59.9170444828 115.9 0.000139348058578 22.1036048656 20.9982621603 0.0981876857765 0.092844980469 7.03012535851
80 286.079453465 60.5983970638 113.9 0.000140595893153 22.104595294 20.9971419561 0.136976673612 0.129523335698 7.02461949791
81 290.759036167 61.120061594 113.9 0.000141405410805 22.1051752317 20.9976903375 0.137556611327 0.130071717151 7.01882303939
82 295.570608102 61.4732248259 115.5 0.000142231283308 22.1053661442 20.9995191082 0.107456223108 0.101609187108 7.01339559834
83 300.465377764 61.6515542075 114.5 0.000143004833395 22.1042232712 20.9974109661 0.125195837803 0.118383532759 7.02701251386
84 305.388619618 61.651732958 115.3 0.0001437933715 22.1043918627 20.9983930627 0.110245326189 0.10424652619 7.02356766625
85 310.283502251 61.4737577113 116.2 0.000144559181541 22.1041401599 20.9990737738 0.0931095196214 0.0880431335391 7.02411850266
86 315.09529185 61.1209388247 114.2 0.000145317122967 22.1039161543 20.9968105732 0.130585634783 0.123480053686 7.03074727488
87 319.775181806 60.5996032871 112.4 0.000146023203727 22.1060752116 20.9969749506 0.167243655417 0.158143394439 7.01317491336
88 324.283118122 59.9185600282 112.7 0.000146777809787 22.1061381583 20.997349417 0.161518578045 0.152729836795 7.01187496193
89 328.589290851 59.0884266882 113.4 0.000147541854205 22.1042498475 20.9962954783 0.14618457472 0.138230205523 7.02918491014
90 332.674307587 58.1209254524 108.2 0.0 22.106251002 20.9926414632 0.250114698168 0.236505159305 7.02100020749
91 336.528327267 57.0282370846 108.6 0.0 22.1056879323 20.9925450351 0.241538806073 0.228395908866 7.02570182171
92 340.149550038 55.8224693551 107.1 0.0 22.10643535 20.9916084086 0.272487995811 0.257661054429 7.02172471357
93 343.542445111 54.5152621047 106.3 0.0 22.1064697164 20.9907550022 0.288803393785 0.273088679535 7.02326372469
94 346.716007181 53.1175249936 109.4 0.0 22.1056728752 20.9933980067 0.225586265251 0.213311396696 7.02400588218
95 349.682218889 51.6392884528 108.9 0.0 22.105212895 20.992421796 0.235073496271 0.222282397201 7.02975911124
96 352.454798592 50.0896422372 107.3 0.0 22.1068475488 20.9922186201 0.268848938979 0.254220010292 7.01713679529
97 355.048243984 48.4767362167 105.6 0.0 22.1058175344 20.989357656 0.302497943398 0.286038065003 7.03144595535
98 357.477142574 46.8078217835 103.1 0.0 22.1073681317 20.9879929653 0.35607480526 0.336699638844 7.02194477789
99 359.755703108 45.0893169415 92.6 0.0 22.109560715 20.9773749979 0.591505781598 0.559320064481 7.02680210352
100 1.89745882439 43.326882968 89.5 0.0 22.1103549365 20.9741027051 0.666239759922 0.629987528563 7.02730143313
101 3.91509809551 41.525504395 91.5 0.0 22.1098342537 20.9762216594 0.617728783339 0.584116189018 7.02703202876
102 5.82038560599 39.6895671198 92.3 0.0 22.1093736408 20.9768146843 0.59836513564 0.565806179181 7.02947994094
103 7.62414528102 37.822931631 86.0 0.0 22.1110733745 20.9700686211 0.753581118286 0.712576364905 7.02997836835
104 9.33628345157 35.928999832 73.9 0.0 22.1147647199 20.9556424737 1.0865425279 1.02742028172 7.03024769893
105 10.96583673 34.0107749162 90.9 0.0 22.1097527655 20.9753672554 0.631933349371 0.597547839284 7.02947970013
106 12.5210337284 32.0709143441 96.4 0.0 22.1078877665 20.9805449967 0.502502597012 0.475159827184 7.03353591794
107 14.0093632402 30.1117763177 92.6 0.0 22.1096641471 20.9774728019 0.59160921365 0.559417868465 7.02576736224
108 15.4376440396 28.1354603197 81.6 0.0 22.1130563265 20.9657383145 0.869605532736 0.822287520722 7.02307477484
109 16.8120932462 26.1438423626 79.3 0.0 22.1144332744 20.963662103 0.933067337796 0.882296166457 7.01632059465
110 18.1383914728 24.1386055567 58.5 0.0 22.1188239656 20.9318692575 1.59804463521 1.51108992712 7.04609389582
111 19.4217437508 22.121266684 46.6 0.0 22.1254868721 20.9112976734 2.09855728865 1.98436808991 7.03327869887
112 20.6669359057 20.093199238 49.8 0.0 22.1239211151 20.9176644285 1.95277440131 1.84651771468 7.03331586493
113 21.8783863035 18.0556535064 44.0 0.0 22.1276391976 20.9065493982 2.22537581518 2.10428601573 7.02517056794
114 23.0601931837 16.0097741118 72.3 0.0 22.1165355759 20.9547306745 1.13584408946 1.07403918799 7.0178595051
129 39.4624615539 -15.0807754235 62.8 0.0 22.119976657 20.9413398865 1.44517843828 1.36654166777 7.01751073174
130 40.6028158531 -17.1452845832 79.7 0.0 22.1128041449 20.9627161203 0.920512537956 0.87042451334 7.03138562738
131 41.7669208991 -19.2042063336 85.4 0.0 22.1105707281 20.9687660869 0.768281374648 0.726476733409 7.03674074156
132 42.9586195334 -21.2565558555 83.4 0.0 22.1122522738 20.9675560804 0.821422020569 0.77672582721 7.02575139978
133 44.1820455519 -23.301267645 77.9 0.0 22.1143643939 20.9614923419 0.971677105501 0.918805053495 7.02137146814
134 45.4416722758 -25.3371804628 103.9 0.0 22.1063000864 20.9878963291 0.338222348616 0.319818591334 7.03069023007
135 46.7423667119 -27.3630201042 96.4 0.0 22.1079135381 20.980569366 0.502528368607 0.475184196465 7.03327792818
136 48.0894499851 -29.377379471 98.8 0.0 22.1072669063 20.9828635595 0.44848218333 0.424078836594 7.03361288895
137 49.4887647972 -31.3786955255 100.8 0.0 22.1088718182 20.986749093 0.40656915769 0.384446432427 7.01255974866
138 50.9467504536 -33.3652224394 108.2 0.0 22.1063715831 20.9927554831 0.250235279277 0.236619179212 7.0197950392
139 52.4705258405 -35.3350002634 104.8 0.0 22.1070396697 20.9896147563 0.320233256426 0.302808343055 7.02113097529
140 54.0679803058 -37.2858182973 106.8 0.0 22.1066102521 20.991442358 0.278753988631 0.263586094584 7.02068077923
141 55.7478717088 -39.2151722447 99.0 0.0 22.1085510467 20.9843167677 0.445375073738 0.42114079475 7.0202622432
142 57.5199297884 -41.1202141433 97.1 0.0 22.1090667161 20.9825146804 0.487970566563 0.461418530885 7.01993886022
143 59.3949612573 -42.9976940125 96.3 0.0 22.1089574546 20.9814338468 0.505826019011 0.478302411187 7.0230919673
144 61.3849503822 -44.8438921831 98.7 0.0 22.1074097436 20.9828789722 0.450823980235 0.426293208856 7.03243611739
145 63.5031448944 -46.654541449 106.1 0.0 22.1067402451 20.990788293 0.293163325544 0.277211373495 7.02103194351
146 65.7641114239 -48.4247385942 106.9 0.0 22.1060502417 20.9910234015 0.27616171563 0.26113487543 7.02604473256
147 68.1837367613 -50.1488456586 105.3 0.0 22.1070926298 20.9902272191 0.309950773884 0.2930853632 7.01940833367
148 70.7791407069 -51.8203827603 103.2 0.0 22.1079917898 20.9886972367 0.35459330339 0.335298750218 7.01546933549
149 73.5684527337 -53.4319165314 109.7 0.0 22.1062805924 20.9942962256 0.22024745455 0.208263087722 7.01724305673
150 76.5703893629 -54.9749519441 109.6 0.0 22.1062843117 20.9941919844 0.222231540941 0.21013921364 7.01743525551
151 79.8035537023 -56.4398403241 109.6 0.0 22.1050885442 20.9930612824 0.221035773475 0.209008511698 7.02938998019
152 83.2853692232 -57.8157233627 110.9 0.000127630328971 22.1060844535 20.9953962487 0.196426722705 0.18573851791 7.01646534249
153 87.0305660377 -59.0905412946 113.0 0.000128954695043 22.1044889408 20.9961040464 0.154096723404 0.145711828949 7.02768552952
154 91.0491751985 -60.2511419317 113.0 0.00012434164574 22.1041702718 20.9958027171 0.15377805436 0.145410499705 7.0308731731
155 93.1683404477 -63.418867668 109.9 9.84885140063e-05 22.1051395933 20.9934325336 0.215151131134 0.203444071526 7.02819094685
156 98.0072209266 -64.3750953888 110.3 9.93618124738e-05 22.1066268907 20.9952681736 0.208749328535 0.197390611434 7.01241230806
157 103.158311046 -65.1667676749 113.2 0.000112109001371 22.1051234819 20.9969130021 0.150891347602 0.142680867873 7.02089534421
158 108.584559733 -65.7776391057 110.6 9.34953103007e-05 22.1052724869 20.9943084002 0.20149685204 0.190532765329 7.02526273351
159 114.227820243 -66.1937075805 111.2 9.35911142578e-05 22.1053395149 20.9950110436 0.189815578703 0.17948710735 7.02322963772
160 120.010590489 -66.4046121222 110.4 8.35117861705e-05 22.1064152865 20.995175158 0.206569919568 0.195329791063 7.01429766576
161 125.84159769 -66.4048238049 108.0 0.0 22.1054469554 20.9916625609 0.253328178003 0.239543783449 7.02950563939
162 131.624558815 -66.1943369824 111.4 8.39553705393e-05 22.1057740242 20.9956342311 0.186348070055 0.176208276913 7.01843428611
163 137.268181538 -65.7786700115 108.7 5.92103507531e-05 22.1058706852 20.9928265937 0.239722964801 0.226678873312 7.02364298001
164 142.694929372 -65.168175272 111.8 8.02369924388e-05 22.1060135766 20.99628425 0.178804558888 0.16907523226 7.01513847095
165 147.846613862 -64.3768489578 111.5 7.59427512784e-05 22.1061634367 20.9961084721 0.184789099768 0.174734135173 7.01431818441
166 152.686142357 -63.4209333886 114.8 8.29502380278e-05 22.1053594625 20.9987945098 0.12065002217 0.11408506946 7.01499662651
167 157.195998265 -62.3175895785 113.5 7.78390669701e-05 22.1050576049 20.9971634318 0.145078297295 0.137184124183 7.02088607553
168 161.374708586 -61.0838227112 114.1 7.71182097161e-05 22.10558884 20.9982887327 0.134160617897 0.126860510561 7.01424872483
169 165.232586926 -59.7357300617 114.6 7.59045602853e-05 22.104590173 20.9978610522 0.123667084808 0.116937964092 7.0231235995
170 168.787685569 -58.2880547679 115.6 7.56998025844e-05 22.1037318244 20.9980759729 0.103942653975 0.0982868024828 7.02951095236
171 172.062448579 -56.7539837996 112.8 6.8434756934e-05 22.1042235228 20.9956437583 0.157678024592 0.149098260111 7.03078765098
172 175.081209637 -55.1451171659 113.4 6.83407935752e-05 22.1054371077 20.9974181358 0.14737183487 0.13935286306 7.01731628771
173 177.868472457 -53.4715435526 112.1 6.34509185538e-05 22.1054330853 20.9960519779 0.172405022345 0.163023914922 7.02026315518
174 180.447823649 -51.7419731101 108.5 4.64680723642e-05 22.1067974488 20.9934853292 0.244648757838 0.231336638231 7.014844365
175 182.841313099 -49.9638937646 106.6 2.93660400479e-05 22.1063098665 20.9909368426 0.282523843031 0.267150819177 7.02415439169
176 185.069157207 -48.1437302655 96.4 0.0 22.1097707061 20.9823254795 0.504385536611 0.476940310031 7.01470470557
177 187.149652424 -46.2869941931 112.6 6.00964793289e-05 22.105975232 20.9970904677 0.163283279408 0.154398515126 7.01372555023
178 189.099217371 -44.3984193469 106.9 3.44838887676e-05 22.1066530704 20.9915934284 0.27676454436 0.261704902325 7.02001785458
179 190.93250764 -42.4820805474 97.3 0.0 22.1098271533 20.9834768607 0.48426295191 0.457912659377 7.01182799598
180 192.662566531 -40.5414960235 66.2 0.0 22.1183826723 20.9460624959 1.32909272507 1.25677254866 7.02074929117
181 194.300988687 -38.5797146353 91.7 0.0 22.1096511281 20.9763064825 0.612804449797 0.579459804177 7.02832246994
182 195.858082815 -36.599389643 107.7 3.87383456925e-05 22.1063484523 20.9921863346 0.260269935858 0.246107818106 7.02119003563
183 197.343025799 -34.6028408422 107.4 3.68648043328e-05 22.107004152 20.9924767688 0.266982745156 0.252455362029 7.0153384048
184 198.764004354 -32.592106806 109.6 4.65357267827e-05 22.1057134766 20.9936522103 0.221660705861 0.209599439519 7.02314034366
185 200.128342786 -30.5689888071 110.9 5.02968628014e-05 22.1061608657 20.995468503 0.19650313491 0.185810772283 7.01570201035
186 201.442616811 -28.5350877942 109.6 4.57238583774e-05 22.1052558099 20.9932194467 0.221203039195 0.209166675957 7.02771684139
187 202.712754164 -26.4918356046 108.1 3.95314330037e-05 22.1063300911 20.992606996 0.25220162129 0.238478526281 7.02044208273
188 203.944123174 -24.4405213762 97.7 0.0 22.1085438918 20.9827481719 0.474071073234 0.448275353342 7.02363088403
189 205.141610534 -22.3823140673 70.0 0.0 22.1149136959 20.9493771701 1.20442349583 1.13888697001 7.04196364277
190 206.309689652 -20.3182816774 62.1 0.0 22.1201706908 20.9401989334 1.46971268997 1.38974093254 7.01826400201
191 207.452480793 -18.2494078234 50.4 0.0 22.1223670699 20.9176100115 1.92521438763 1.82045732929 7.04606963828
192 208.573804186 -16.1766061215 28.1 0.0 22.1369048952 20.862327066 3.20837329566 3.03379546648 7.03528666959
208 226.139325365 16.8908054908 103.9 0.0 22.1081897858 20.9896832039 0.340112047978 0.321605466124 7.01180004362
209 227.365928587 18.9110482211 109.3 5.04058397959e-05 22.106086906 20.993681455 0.227986096255 0.215580645237 7.02009722062
210 228.627915467 20.9200254641 112.5 6.33804272269e-05 22.1060216051 20.997029336 0.16525899291 0.156266723752 7.01348625507
211 229.929600087 22.9164070923 116.3 7.43873762331e-05 22.1050994333 21.0000824903 0.0922008596361 0.0871839166433 7.01431610791
212 231.275633346 24.8987319229 115.8 7.4106520999e-05 22.1047819299 20.9992731856 0.101239132946 0.0957303886609 7.01857605754
213 232.671045895 26.8653879491 115.5 7.45254481232e-05 22.1048375481 20.9990192747 0.106927626943 0.101109353547 7.01867561831
214 234.121293527 28.8145898136 113.3 7.14518895697e-05 22.1051594264 20.9970513235 0.149009877099 0.140901774184 7.02031339146
215 235.632304593 30.7443532316 111.4 6.73499038959e-05 22.1062005422 20.9960375409 0.186774588041 0.176611586694 7.01417345797
216 237.210528435 32.652465884 110.2 6.36338180307e-05 22.1047852181 20.9934195406 0.208877245523 0.197511568051 7.03104935836
217 238.862983317 34.5364543996 106.8 0.0 22.1062227372 20.991075929 0.278366473708 0.263219665585 7.0245548636
218 240.597301382 36.3935470398 112.7 7.84730960975e-05 22.10473014 20.9960180135 0.160110559789 0.151398433306 7.02594425002
219 242.42176698 38.2206317814 111.2 7.48383566897e-05 22.1054511854 20.9951166377 0.189927249216 0.179592701513 7.02211332792
220 244.34534305 40.0142096453 112.1 8.1337844319e-05 22.1055325998 20.9961460775 0.172504536808 0.163118014485 7.01926868045
221 246.37767803 41.7703433896 111.6 8.23282038673e-05 22.1057126038 20.9957880932 0.18239163084 0.17246712018 7.01859623178
222 248.529082986 43.4846021171 109.8 7.3004394665e-05 22.1057887499 20.9939388057 0.217777049318 0.205927105121 7.02192907345
223 250.810465095 45.1520030143 105.7 0.0 22.1067912603 20.9903902363 0.301416323744 0.285015299726 7.02146968636
224 253.233199575 46.7669524158 108.6 5.49751090989e-05 22.1055215116 20.9923876699 0.241372385323 0.2282385436 7.02736619114
225 255.808917674 48.3231897611 111.0 9.23752955914e-05 22.1056269026 20.9950700901 0.194012008701 0.1834551962 7.02081041378
226 258.549184405 49.8137398829 107.0 0.0 22.1061770011 20.991253742 0.274258112665 0.259334853576 7.02454224864
227 261.465037152 51.2308813315 107.1 0.0 22.107332574 20.9924568118 0.273385219891 0.258509457683 7.0127600101
228 264.566358015 52.5661413258 109.6 8.92125737034e-05 22.1051547016 20.9931238399 0.221101930812 0.209071069203 7.02872818157
229 267.861060802 53.8103306494 109.0 0.0 22.1062206737 20.9934831886 0.234088184033 0.221350698946 7.01945153195
230 271.35409276 54.9536342542 116.1 0.000128972937029 22.105314768 21.00008274 0.09615366932 0.0909216413386 7.01260047457
231 275.046284317 55.9857741148 114.4 0.000132628960742 22.1054764512 20.9984927179 0.12834632894 0.12136259562 7.01470885372
232 278.933128933 56.896258701 112.6 0.000136188794554 22.1053472654 20.9964966708 0.16265531281 0.153804718195 7.01999903272
233 283.003635457 57.6747266349 113.1 0.000140212569728 22.1042992234 20.9960291693 0.151986198723 0.143716144651 7.02935983432
234 287.239454292 58.311379532 111.3 0.000141014856901 22.1058199229 20.9955715194 0.188344101254 0.178095697684 7.01820183166
235 291.61451345 58.7974809923 109.7 0.0 22.1055022211 20.9935602079 0.219469083231 0.20752707007 7.02502299025
236 296.095383273 59.1258780002 112.8 0.000142617011738 22.1051078035 20.9964799225 0.158562305262 0.149934424249 7.02194484432
237 300.642498249 59.291483232 114.5 0.000143448675312 22.1038758155 20.9970824167 0.124848382156 0.118054983282 7.03048782221
238 305.212204365 59.2916491535 115.8 0.000144233664164 22.1050386473 20.9995159342 0.1014958503 0.0959731372045 7.0160114474
239 309.759409057 59.1263730839 113.1 0.000144961799249 22.1042532781 20.995985724 0.151940253461 0.143672699417 7.02981943833
240 314.240452646 58.7982974067 112.8 0.000145719094052 22.1047279701 20.9961207571 0.158182471888 0.14957525882 7.02574218225
241 318.615759144 58.3125048912 112.2 0.000146457890651 22.1054583489 20.9961812228 0.170494064298 0.161216938199 7.01978596338
242 322.851885108 57.6761448776 110.4 0.0 22.1051771361 20.9940043793 0.205331769157 0.194159012368 7.02667215572
243 326.922743196 56.8979511171 109.7 0.0 22.1066701622 20.9946645976 0.220637024287 0.208631459726 7.01335161653
244 330.809968513 55.9877203841 110.0 0.0 22.1059718498 20.9943269685 0.214008423965 0.2023635427 7.01964110204
245 334.502555933 54.9558133896 106.7 0.0 22.1064863909 20.991214551 0.280664293747 0.265392453903 7.02215408904
246 337.995987037 53.8127217781 105.5 0.0 22.1071409679 20.9904971334 0.30587866975 0.289234835247 7.01844946934
247 341.291082795 52.5687242819 109.5 0.0 22.1055618916 20.993401017 0.223491295706 0.211330421129 7.02488563978
248 344.39278341 51.2336370645 99.0 0.0 22.1091563528 20.9848891371 0.445980379768 0.421713164147 7.01421327042
249 347.308997811 49.816650706 96.7 0.0 22.1096081236 20.9825388804 0.497475753203 0.470406509988 7.01555585854
250 350.049605028 48.3262394752 95.8 0.0 22.1083380608 20.9802330754 0.516510515399 0.488405530032 7.0305850211
251 352.625640841 46.7701263193 87.1 0.0 22.1123544469 20.9727817098 0.727263671905 0.687690934762 7.01402848102
252 355.048669698 45.1552878849 81.8 0.0 22.1115455357 20.9645989761 0.862779017314 0.815832457788 7.03759703508
253 357.330323087 43.4879861147 91.5 0.0 22.1102757507 20.9766391331 0.618170280345 0.584533662762 7.02261582258
254 359.481976979 41.7738159537 83.9 0.0 22.1132257947 20.9691828877 0.809415990561 0.765373083606 7.01454498759
255 1.51453964065 40.0177613791 74.6 0.0 22.1136402986 20.9556931797 1.06494616129 1.00699904232 7.03920926491
256 3.43832341284 38.2242543331 71.5 0.0 22.1154884623 20.9524258454 1.15895825326 1.09589563638 7.03104556988
257 5.2629780958 36.3972329888 34.0 0.0 22.1308990436 20.8791676177 2.78850445837 2.63677303246 7.05221576843
258 6.99746799919 34.540197149 67.5 0.0 22.116592475 20.9466675191 1.28507361084 1.21514865491 7.03396760718
259 8.65007881013 32.6562595631 81.2 0.0 22.1129676267 20.9650738171 0.88018748045 0.832293670893 7.02516970199
260 10.2284439408 30.7481926067 72.0 0.0 22.1162933414 20.9540103238 1.14463085927 1.08234784161 7.02129377486
261 11.739582839 28.8184702093 64.3 0.0 22.1190394847 20.9432427464 1.39298462003 1.31718788174 7.021204232
262 13.1899459393 26.8693051778 58.3 0.0 22.1189850751 20.9316169537 1.60564230129 1.51827417995 7.04529863227
263 14.5854625808 24.9026822278 68.9 0.0 22.117180641 20.9496492713 1.24108453147 1.17355316172 7.02310280513
264 15.931589466 22.9203870733 65.5 0.0 22.1191966763 20.9455761633 1.35299017638 1.27936966339 7.0151733142
265 17.2333580395 20.9240320589 43.1 0.0 22.1284040842 20.9048307623 2.27101773337 2.1474444115 7.0223365047
266 18.4954199184 18.9150786439 13.8 0.0 22.1502838225 20.7909566269 4.76588839054 4.5065611949 7.05689048909
267 19.7220898193 16.8948571996 37.4 0.0 22.1303773893 20.8899358887 2.5810193783 2.4405778777 7.03549629085
283 37.2878080881 -16.1724563375 51.5 0.0 22.1242945769 20.9219837156 1.88025843173 1.77794757041 7.02163294749
284 38.4090921887 -18.2452650214 61.3 0.0 22.1177164487 20.9363461969 1.49541407615 1.41404382429 7.04597093766
285 39.5518366644 -20.3141476236 80.9 0.0 22.1117905564 20.9635234469 0.887047948316 0.83878083881 7.03786489873
286 40.7198611922 -22.3781906546 104.7 0.0 22.1069521723 20.9894192211 0.322218763903 0.304685812734 7.02224498527
287 41.9172853858 -24.4364106514 99.8 0.0 22.1079023213 20.9846543064 0.427249614857 0.404001599927 7.0247392395
