# N l b R fracMedian appU appV Au Av SNR
1 95.3440734471 -61.2835329394 111.1 0.000109312768701 22.1062269902 20.9957439246 0.19265669547 0.182173629887 7.01458804325
2 99.9082712555 -62.1733175948 112.7 0.000112830373699 22.10607323 20.9972880217 0.161453649756 0.152668441461 7.01252328913
3 104.722343218 -62.9063377544 101.9 0.0 22.1084554408 20.9876377962 0.382584520802 0.361766876169 7.01400763278
4 109.752610824 -63.4695115428 115.7 0.000108282224279 22.105451977 20.999804694 0.103785182228 0.0981378992768 7.01210180229
5 114.950797418 -63.851798131 115.5 0.000104160048947 22.10451379 20.9987131333 0.106603868874 0.100803212187 7.0219109941
6 120.255752214 -64.0451605136 114.9 9.95786083323e-05 22.1049727305 20.9985317003 0.11837258704 0.111931556843 7.01864018409
7 125.597410955 -64.0453544449 110.5 7.95825140024e-05 22.1065835777 20.9954412695 0.204772187546 0.193629879378 7.01238923228
8 130.902511204 -63.8523756065 105.1 0.0 22.107005732 20.989920417 0.313992151823 0.296906836869 7.02075355347
9 136.100976192 -63.4704600701 99.2 0.0 22.1088667075 20.9848537121 0.441308346689 0.417295351297 7.01660387164
10 141.131632624 -62.9076379538 108.3 5.32766669451e-05 22.1051566891 20.991715847 0.247014405951 0.233573563881 7.03171195083
11 145.946175613 -62.174945011 112.5 7.83559966097e-05 22.1051608492 20.9962154165 0.164398236983 0.155452804301 7.02208618183
12 150.510897182 -61.285460022 114.1 7.99086364834e-05 22.1054816632 20.9981873877 0.134053441091 0.126759165586 7.015319176
13 154.806344861 -60.2533398708 113.7 7.69020910399e-05 22.1041155353 20.9964806457 0.140313211856 0.132678322249 7.0298612334
14 158.825506669 -59.0929815161 112.6 7.20798760987e-05 22.1050481459 20.9962138273 0.162356193308 0.153521874739 7.02298872384
15 162.571242354 -57.8183786026 113.0 7.11109222445e-05 22.1055681984 20.9971245781 0.155175980981 0.146732360678 7.01689756672
16 166.053571238 -56.4426853059 113.1 6.95084046741e-05 22.1056833712 20.9973380012 0.153370346567 0.145024976593 7.01552408276
17 169.2872162 -54.9779637259 112.6 6.67220950716e-05 22.106079701 20.9971892523 0.163387748469 0.154497299692 7.01268228609
18 172.289596996 -53.4350746099 113.4 6.71901563677e-05 22.1041115124 20.9961646705 0.146046239631 0.138099397688 7.03056875039
19 175.079315573 -51.8236690122 108.5 4.6768533768e-05 22.1056745216 20.992423504 0.243525830656 0.230274813101 7.02606765152
20 177.675089027 -50.1522441887 102.3 0.0 22.1073690881 20.9870734619 0.372990919538 0.352695293363 7.02388522099
21 180.095048524 -48.4282355136 104.3 0.0 22.1063581115 20.9884052099 0.329936569408 0.311983667813 7.02914597561
22 182.356316143 -46.6581246767 104.6 0.0 22.1066169805 20.9889893616 0.323958557844 0.306330938935 7.02583622086
23 184.474781271 -44.847551209 101.3 0.0 22.1069339173 20.9855012856 0.393886690512 0.372454058759 7.03069682177
24 186.465013201 -43.0014196943 83.0 0.0 22.1129312168 20.9676300176 0.832540754899 0.787239555724 7.02014336057
25 188.340262259 -41.1239985192 95.8 0.0 22.1083543841 20.9802485105 0.51652683869 0.48842096512 7.03042166188
26 190.112515163 -39.2190083668 76.9 0.0 22.1143332446 20.9599362934 0.999701545611 0.94530459439 7.0248447492
27 191.792580882 -37.2897000867 71.2 0.0 22.1166997367 20.953074405 1.16929976851 1.10567443678 7.0199446942
28 193.390191205 -35.3389223841 81.7 0.0 22.1135821116 20.9663802013 0.867471828982 0.820269918598 7.01751576672
29 194.914105832 -33.3691801903 98.1 0.0 22.1074441542 20.9821910402 0.464099117294 0.438846003346 7.03361458262
30 196.372215747 -31.3826847477 108.3 4.03182214396e-05 22.107122359 20.9935745585 0.248980075829 0.235432275388 7.01206273379
31 197.771641284 -29.381396469 112.2 5.30001859057e-05 22.1054863673 20.9962077167 0.170522082746 0.161243432075 7.01950597152
32 199.118823023 -27.3670615776 103.7 0.0 22.1070281736 20.9883571364 0.34313439168 0.324463354461 7.02389036839
33 200.419604778 -25.3412434539 102.7 0.0 22.1067138475 20.9869149751 0.363861629479 0.344062757108 7.02946199452
34 201.679308658 -23.3053494688 93.3 0.0 22.1104126353 20.9790703969 0.576004416533 0.544662178155 7.01641373466
35 202.902802505 -21.260654087 79.8 0.0 22.1126275942 20.9626973352 0.917613137439 0.867682878457 7.03284558359
36 204.094560375 -19.2083187508 88.8 0.0 22.1105665648 20.9733750543 0.683501735926 0.646310225368 7.02712823171
37 205.258716694 -17.1494091399 67.2 0.0 22.1182690033 20.9477265106 1.296422638 1.22588014528 7.01826277577
38 206.39911484 -15.0849102212 34.0 0.0 22.1333559101 20.8814907982 2.79096132487 2.63909621301 7.02755016537
53 222.801306119 16.0056739054 112.9 5.99557662444e-05 22.1048178661 20.996310464 0.156348156491 0.147840754378 7.0246197673
