# r frac rho dNdR
0.0 0.0 inf nan
0.1 0.0 15135612.4844 0.0
0.2 0.0 1494719.89288 0.0
0.3 0.0 385846.894561 0.0
0.4 0.0 147611.308129 0.0
0.5 0.0 70055.1690683 0.0
0.6 0.0 38104.3733446 0.0
0.7 0.0 22770.4989143 0.0
0.8 0.0 14577.3789401 0.0
0.9 0.0 9836.26042196 0.0
1.0 0.0 6918.30970919 0.0
1.1 0.0 5032.09036632 0.0
1.2 0.0 3763.00363811 0.0
1.3 0.0 2880.24348735 0.0
1.4 0.0 2248.70435425 0.0
1.5 0.0 1785.89201202 0.0
1.6 0.0 1439.59144767 0.0
1.7 0.0 1175.71105713 0.0
1.8 0.0 971.381510949 0.0
1.9 0.0 810.89191969 0.0
2.0 0.0 683.218809816 0.0
2.1 0.0 580.48039369 0.0
2.2 0.0 496.944909303 0.0
2.3 0.0150810314735 428.379843363 429.462858131
2.4 0.0622682900329 371.61604135 1674.91873223
2.5 0.117217361258 324.250288401 2985.1227407
2.6 0.145823762775 284.438917904 3523.49677343
2.7 0.178324317708 250.752359168 4096.31165427
2.8 0.210546101265 222.071167253 4606.43880324
2.9 0.205814819134 197.510726754 4296.088196
3.0 0.290198870508 176.366058503 5788.46085223
3.1 0.266589536511 158.070906033 5088.95128923
3.2 0.318729786427 142.167089483 5830.84564413
3.3 0.341940017102 128.281326111 6002.76184873
3.4 0.337577599344 116.107538243 5693.79380542
3.5 0.385189571986 105.393234192 6249.32636406
3.6 0.390629867335 95.9289404037 6102.81154478
3.7 0.40028500574 87.5399393963 6028.21698024
3.8 0.42473292401 80.0797645014 6171.85582052
3.9 0.420605036202 73.4250435072 5902.79579333
4.0 0.462723497934 67.4713855996 6277.27319273
4.1 0.457078478634 62.1300808206 5998.88130788
4.2 0.470713789008 57.3254364677 5981.53620163
4.3 0.462971018623 52.9926159041 5700.53923528
4.4 0.467676732361 49.0758760087 5583.78954429
4.5 0.472191498435 45.5271227096 5470.45259731
4.6 0.466512063438 42.3047216783 5247.79967291
4.7 0.471037706035 39.3725147615 5148.18811536
4.8 0.477511180537 36.6990031022 5073.76269103
4.9 0.46461379225 34.2566659486 4802.18862449
5.0 0.481864318597 32.0213904026 4847.46661559
5.1 0.471230344809 29.9719922641 4616.35370496
5.2 0.45919525429 28.0898119808 4382.9122383
5.3 0.491850250202 26.358372763 4576.28533682
5.4 0.466214175845 24.7630903487 4230.46104697
5.5 0.474449145919 23.2910258335 4200.62129097
5.6 0.480951780316 21.930674538 4156.6115927
5.7 0.473365372239 20.6717851266 3995.15876471
5.8 0.487067185211 19.5052042089 4016.1065261
5.9 0.478289989593 18.4227424674 3854.42375987
6.0 0.473635134112 17.4170590285 3731.90946417
6.1 0.480168277231 16.4815613377 3700.50801935
6.2 0.47352951436 15.6103182462 3570.68922639
6.3 0.485539154108 14.7979843888 3583.58561928
6.4 0.474586572406 14.0397342348 3429.60532915
6.5 0.483399379257 13.3312044473 3421.46462801
6.6 0.477626991153 12.668443396 3312.14889264
6.7 0.481201036313 12.0478668447 3270.36466954
6.8 0.479646859002 11.4662189789 3195.7259247
6.9 0.479802030729 10.9205380638 3134.83122654
7.0 0.479822545063 10.4081261253 3075.09927143
7.1 0.481569644846 9.92652213338 3028.18762707
7.2 0.479882750532 9.47347824028 2961.55265249
7.3 0.481628584029 9.04693869066 2917.89382737
7.4 0.480786277655 8.64502107014 2860.1672095
7.5 0.482214275289 8.26599960651 2817.5253617
7.6 0.481704270457 7.90829027505 2765.0319048
7.7 0.482735405166 7.57043749245 2722.83575331
7.8 0.48265098728 7.25110221201 2675.69307911
7.9 0.482871180797 6.94905125688 2631.60587857
8.0 0.483423616978 6.66314774904 2590.58081458
8.1 0.483170140607 6.39234250933 2546.47857313
8.2 0.484042486423 6.13566631971 2509.47448854
8.3 0.48367664512 5.89222295194 2467.17717044
8.4 0.484147658641 5.66118287876 2430.26401668
8.5 0.484194464775 5.44177759359 2392.25969841
8.6 0.484320538059 5.23329447349 2355.67203035
8.7 0.48459078263 5.035072128 2320.75457199
8.8 0.484659806104 4.84649618285 2285.80978539
8.9 0.484837828124 4.66699545352 2252.28711456
9.0 0.485158385126 4.49603846885 2220.2835598
9.1 0.485052471804 4.33313030902 2187.17292124
9.2 0.485553201322 4.17780972659 2157.6003168
9.3 0.485569047996 4.02964652247 2126.63867822
9.4 0.485430074355 3.88823915169 2095.77772107
9.5 0.485616087837 3.7532125369 2067.06102759
9.6 0.48555953527 3.62421606937 2038.02214559
9.7 0.485855566777 3.50092177986 2011.14286804
9.8 0.486013771097 3.38302266326 1984.33730772
9.9 0.486217047281 3.27023114269 1958.34356315
10.0 0.486405114888 3.16227766017 1932.89381871
10.1 0.486566742727 3.05890938238 1907.92651844
10.2 0.48681493563 2.95988901094 1883.86391728
10.3 0.486674497561 2.86499368796 1858.8595291
10.4 0.486741038608 2.77401398841 1835.1989574
10.5 0.486931811038 2.68675299152 1812.52644209
10.6 0.487044761378 2.60302542454 1790.0653292
10.7 0.486959139417 2.52265687247 1767.37262206
10.8 0.487045433326 2.44548304811 1745.78801343
10.9 0.487191852474 2.37134911744 1724.87796252
11.0 0.487362648748 2.30010907552 1704.49569195
11.1 0.487527761145 2.23162516885 1684.52097526
11.2 0.487652802644 2.16576736025 1664.82442234
11.3 0.487777357422 2.10241283286 1645.53220472
11.4 0.487936231342 2.04144553 1626.7485592
11.5 0.488050141217 1.98275572814 1608.19682629
11.6 0.488125472767 1.92623964017 1589.89202284
11.7 0.488199816299 1.87179904675 1571.94888844
11.8 0.488265094552 1.81934095338 1554.33151425
11.9 0.488297701726 1.76877727132 1536.95664147
12.0 0.488268589694 1.72002452046 1519.7277068
12.1 0.488239224829 1.67300355245 1502.83096619
12.2 0.488053744579 1.6276392926 1485.78284677
12.3 0.487946155589 1.58386049908 1469.29471122
12.4 0.487789774572 1.54159953823 1452.97284578
12.5 0.487602729913 1.50079217461 1436.86701453
12.6 0.487343242568 1.46137737493 1420.85016531
12.7 0.487070896054 1.4232971247 1405.09296023
12.8 0.48662239037 1.38649625664 1389.12264925
12.9 0.485970234108 1.35092229022 1372.86970494
13.0 0.485397316164 1.31652528128 1357.13528662
13.1 0.484816313434 1.28325768123 1341.66333858
13.2 0.484237168996 1.25107420498 1326.47453826
13.3 0.483660051107 1.21993170716 1311.56217282
13.4 0.483078792751 1.18978906589 1296.90273615
13.5 0.482528625866 1.16060707381 1282.58364325
13.6 0.481968865782 1.13234833552 1268.48901728
13.7 0.48142101943 1.10497717145 1254.66953305
13.8 0.4808968659 1.07845952727 1241.14875206
13.9 0.480325864362 1.05276288888 1227.73886685
14.0 0.479812363551 1.02785620226 1214.70195555
14.1 0.47926200498 1.00370979816 1201.7918468
14.2 0.478748551606 0.980295321062 1189.18919796
14.3 0.478209302605 0.957585662314 1176.73208186
14.4 0.477729355352 0.935554897107 1164.62485144
14.5 0.47722200647 0.914178225018 1152.6493333
14.6 0.476719855865 0.89343191394 1140.88081832
14.7 0.476221433985 0.873293247163 1129.31104031
14.8 0.475752868393 0.853740473417 1117.99685227
14.9 0.475265729072 0.834752759686 1106.81940133
15.0 0.474795164293 0.816310146624 1095.85694414
15.1 0.474310927549 0.798393506416 1085.03534372
15.2 0.473868336797 0.780984502937 1074.47705786
15.3 0.47338976955 0.76406555406 1064.00143788
15.4 0.472947205326 0.74761979599 1053.76740679
15.5 0.472250658535 0.731631049509 1043.128859
15.6 0.471747843237 0.716083788004 1033.07731599
15.7 0.471294654804 0.700963107188 1023.28555614
15.8 0.470853432887 0.686254696399 1013.66653407
15.9 0.470132201032 0.671944811404 1003.59321385
16.0 0.469706497116 0.658020248599 994.295914145
16.1 0.469277239174 0.644468320544 985.128040144
16.2 0.468861449226 0.631276832744 976.122379962
16.3 0.46843533692 0.618434061613 967.226358448
16.4 0.467744436697 0.605928733547 957.916686143
16.5 0.467340593041 0.593750005048 949.324926014
16.6 0.466828291857 0.581887443843 940.637295958
16.7 0.466321945847 0.570331010931 932.085275259
16.8 0.465960104979 0.55907104353 923.940833077
16.9 0.465037117946 0.548098238839 914.806619053
17.0 0.464385374349 0.537403638613 906.331016532
17.1 0.463925984582 0.526978614468 898.346280946
17.2 0.463556547221 0.5168148539 890.644652169
17.3 0.463191867928 0.506904346979 883.057557831
17.4 0.462631841043 0.497239373667 875.204196704
17.5 0.462176606082 0.487812491739 867.654528613
17.6 0.461833489114 0.47861652528 860.415669658
17.7 0.461474161474 0.469644553708 853.243672746
17.8 0.46113563891 0.46088990132 846.205315261
17.9 0.460785778335 0.452346127312 839.23940867
18.0 0.460450452322 0.444007016265 832.391450878
18.1 0.460102916304 0.435866569063 825.61116931
18.2 0.459777288441 0.427918994227 818.958168055
18.3 0.459396473267 0.420158699638 812.293654527
18.4 0.459060283031 0.412580284639 805.793391467
18.5 0.458737031375 0.405178532482 799.398902666
18.6 0.458405132477 0.39794840312 793.070855437
18.7 0.458104458842 0.39088502631 786.876599322
18.8 0.457774265478 0.38398369503 780.709960902
18.9 0.457458373764 0.377239859178 774.644832591
19.0 0.457154501072 0.370649119544 768.675499729
19.1 0.456840936543 0.364207222052 762.763960545
19.2 0.456545997215 0.35791005224 756.956211317
19.3 0.45615213719 0.351753629988 751.056802425
19.4 0.455665543396 0.345734104462 745.07799151
19.5 0.455362149456 0.339847749277 739.469750858
19.6 0.455071881625 0.334090957868 733.950431556
19.7 0.454782765544 0.328460239048 728.499267223
19.8 0.454491906639 0.322952212758 723.110492018
19.9 0.454198569966 0.317563605991 717.781902373
20.0 0.453756534692 0.312291248889 712.282972343
20.1 0.453377064988 0.307132070996 706.946736128
20.2 0.453092200961 0.302083097666 701.819798711
20.3 0.452812307022 0.297141446621 696.760296478
20.4 0.452544232457 0.292304324646 691.777566044
20.5 0.452272900323 0.287569024419 686.847396361
20.6 0.452015790982 0.282932921465 681.995321971
20.7 0.451731044571 0.278393471238 677.157259908
20.8 0.451483864869 0.273948206316 672.43022967
20.9 0.450954978384 0.269594733706 667.339799275
21.0 0.450430135456 0.265330732259 662.313256622
21.1 0.450172108065 0.261153950181 657.733492609
21.2 0.449930025922 0.257062202652 653.22799235
21.3 0.44966606953 0.253053369522 648.740951784
21.4 0.44941706644 0.249125393113 644.324979035
21.5 0.449180838167 0.245276276092 639.975795605
21.6 0.448922706593 0.241504079434 635.643207006
21.7 0.448696357698 0.237806920461 631.40259842
21.8 0.448434592532 0.234182970954 627.158437672
21.9 0.448199508389 0.230630455337 622.997244767
22.0 0.447973082787 0.227147648932 618.892744297
22.1 0.44769000291 0.223732876275 614.754354706
22.2 0.447238753137 0.220384509498 610.430614394
22.3 0.447014900419 0.217100966774 606.461655786
22.4 0.446543111034 0.213880710811 602.200224673
22.5 0.446299553099 0.210722247409 598.289996888
22.6 0.44609070795 0.207624124069 594.46697462
22.7 0.445531546165 0.20458492865 590.219665119
22.8 0.445124803272 0.201603288077 586.217749383
22.9 0.444677591127 0.198677867096 582.204505593
23.0 0.444452657034 0.19580736707 578.522255339
23.1 0.444253346314 0.192990524827 574.910868286
23.2 0.444039528672 0.190226111536 571.317592279
23.3 0.443814728348 0.187512931638 567.746728511
