# R appU appV SNR contamination
120.0 22.0809062302 20.9809062302 7.25083201573 0.0394581861013
120.1 22.082715037 20.982715037 7.23213142283 0.0397397989355
120.2 22.0845223383 20.9845223383 7.21348096725 0.0376696303229
120.3 22.0863281367 20.9863281367 7.19488056058 0.0372191011236
120.4 22.0881324346 20.9881324346 7.17633011394 0.0401986285174
120.5 22.0899352346 20.9899352346 7.15782953799 0.0397614314115
120.6 22.091736539 20.991736539 7.13937874291 0.0398537908266
120.7 22.0935363505 20.9935363505 7.12097763846 0.0414124824026
120.8 22.0953346714 20.9953346714 7.10262613394 0.0410478306631
120.9 22.0971315043 20.9971315043 7.08432413824 0.0428015564202
121.0 22.0989268516 20.9989268516 7.06607155979 0.0422005407312
121.1 22.1007207157 21.0007207157 7.04786830663 0.0409556313993
121.2 22.1025130992 21.0025130992 7.02971428641 0.0454545454545
121.3 22.1043040043 21.0043040043 7.01160940633 0.0428149024246
121.4 22.1060934337 21.0060934337 6.99355357324 0.054233729881
