# R appU appV SNR contamination
120.0 22.0809062302 20.9809062302 10.2542249751 0.000927966593203
120.1 22.082715037 20.982715037 10.227778343 0.00175705751435
120.2 22.0845223383 20.9845223383 10.2014026158 0.00128835792926
120.3 22.0863281367 20.9863281367 10.1750976684 0.00140878140409
120.4 22.0881324346 20.9881324346 10.1488633752 0.00175090463406
120.5 22.0899352346 20.9899352346 10.1226996098 0.00140301648544
120.6 22.091736539 20.991736539 10.0966062451 0.00186545412149
120.7 22.0935363505 20.9935363505 10.0705831537 0.00128956623681
120.8 22.0953346714 20.9953346714 10.0446302071 0.00162601626016
120.9 22.0971315043 20.9971315043 10.0187472765 0.0014012143858
121.0 22.0989268516 20.9989268516 9.99293423255 0.00234852043213
121.1 22.1007207157 21.0007207157 9.96719094506 0.00164126611958
121.2 22.1025130992 21.0025130992 9.94151728344 0.00269257785062
121.3 22.1043040043 21.0043040043 9.91591311649 0.00233317778815
121.4 22.1060934337 21.0060934337 9.89037831246 0.00280636108513
121.5 22.1078813897 21.0078813897 9.86491273904 0.00270843146491
121.6 22.1096678747 21.0096678747 9.8395162634 0.00213320692107
121.7 22.1114528912 21.0114528912 9.81418875221 0.00164589701387
121.8 22.1132364415 21.0132364415 9.78893007158 0.00176242509693
121.9 22.1150185281 21.0150185281 9.76374008716 0.0027027027027
122.0 22.1167991534 21.0167991534 9.73861866409 0.00247524752475
122.1 22.1185783197 21.0185783197 9.71356566704 0.00284057284886
122.2 22.1203560295 21.0203560295 9.6885809602 0.00221988550064
122.3 22.1221322852 21.0221322852 9.66366440731 0.00318321150672
122.4 22.123907089 21.023907089 9.63881587166 0.00258397932817
122.5 22.1256804435 21.0256804435 9.61403521609 0.00282253322357
122.6 22.1274523509 21.0274523509 9.58932230303 0.00292740046838
122.7 22.1292228136 21.0292228136 9.56467699446 0.00340295705234
122.8 22.130991834 21.030991834 9.54009915198 0.00309008794866
122.9 22.1327594144 21.0327594144 9.51558863677 0.00365824876092
123.0 22.1345255572 21.0345255572 9.49114530964 0.00395348837209
123.1 22.1362902647 21.0362902647 9.46676903099 0.00223792697291
123.2 22.1380535391 21.0380535391 9.44245966086 0.00258489014217
123.3 22.139815383 21.039815383 9.41821705894 0.00320246708575
123.4 22.1415757985 21.0415757985 9.39404108455 0.0028551034975
123.5 22.143334788 21.043334788 9.36993159667 0.00413271932932
123.6 22.1450923538 21.0450923538 9.34588845394 0.00496747486694
123.7 22.1468484981 21.0468484981 9.32191151469 0.00436732766761
123.8 22.1486032234 21.0486032234 9.29800063689 0.00366170564611
123.9 22.1503565319 21.0503565319 9.27415567826 0.00463568287175
124.0 22.1521084258 21.0521084258 9.25037649616 0.0041651791027
124.1 22.1538589075 21.0538589075 9.2266629477 0.00506239698611
124.2 22.1556079792 21.0556079792 9.20301488969 0.00411813154489
124.3 22.1573556432 21.0573556432 9.17943217865 0.00523377529658
124.4 22.1591019018 21.0591019018 9.15591467085 0.00616135782376
124.5 22.1608467572 21.0608467572 9.13246222231 0.00497630331754
124.6 22.1625902116 21.0625902116 9.10907468876 0.00332462597958
124.7 22.1643322674 21.0643322674 9.08575192574 0.00651769087523
124.8 22.1660729267 21.0660729267 9.0624937885 0.00671061926065
124.9 22.1678121919 21.0678121919 9.03930013209 0.00722947761194
125.0 22.169550065 21.069550065 9.01617081135 0.0059144149368
125.1 22.1712865485 21.0712865485 8.99310568088 0.0065154159395
125.2 22.1730216444 21.0730216444 8.9701045951 0.00663407821229
125.3 22.174755355 21.074755355 8.94716740821 0.00438492533776
125.4 22.1764876825 21.0764876825 8.92429397423 0.00792356094151
125.5 22.1782186291 21.0782186291 8.90148414701 0.00721014071404
125.6 22.179948197 21.079948197 8.87873778021 0.00685090571296
125.7 22.1816763884 21.0816763884 8.85605472732 0.00739610237145
125.8 22.1834032055 21.0834032055 8.83343484167 0.00870170553428
125.9 22.1851286505 21.0851286505 8.81087797644 0.00965340776925
126.0 22.1868527256 21.0868527256 8.78838398466 0.00838183934808
126.1 22.1885754329 21.0885754329 8.76595271921 0.00922466137319
126.2 22.1902967745 21.0902967745 8.74358403287 0.00671451724936
126.3 22.1920167528 21.0920167528 8.72127777825 0.0082519758252
126.4 22.1937353697 21.0937353697 8.69903380786 0.00906871294036
126.5 22.1954526276 21.0954526276 8.6768519741 0.0105907272299
126.6 22.1971685284 21.0971685284 8.65473212924 0.00878940583617
126.7 22.1988830744 21.0988830744 8.63267412549 0.0109992979172
126.8 22.2005962677 21.1005962677 8.61067781492 0.0114552893045
126.9 22.2023081105 21.1023081105 8.58874304954 0.0117247039512
127.0 22.2040186048 21.1040186048 8.56686968127 0.00908667287978
127.1 22.2057277528 21.1057277528 8.54505756194 0.01085941149
127.2 22.2074355566 21.1074355566 8.52330654334 0.00956045237262
127.3 22.2091420183 21.1091420183 8.50161647716 0.00947479237338
127.4 22.21084714 21.11084714 8.47998721506 0.008400420021
127.5 22.2125509238 21.1125509238 8.45841860864 0.0125734430082
127.6 22.2142533719 21.1142533719 8.43691050943 0.010933458735
127.7 22.2159544863 21.1159544863 8.41546276896 0.010727337027
127.8 22.2176542691 21.1176542691 8.3940752387 0.0111620256139
127.9 22.2193527224 21.1193527224 8.37274777007 0.0122482628666
128.0 22.2210498482 21.1210498482 8.35148021452 0.0130612244898
128.1 22.2227456487 21.1227456487 8.33027242342 0.0135056467575
128.2 22.2244401259 21.1244401259 8.30912424817 0.0105029758432
128.3 22.2261332819 21.1261332819 8.28803554015 0.0148008927523
128.4 22.2278251187 21.1278251187 8.26700615072 0.013359896871
128.5 22.2295156383 21.1295156383 8.24603593126 0.0127979335447
128.6 22.2312048429 21.1312048429 8.22512473316 0.0155810684161
128.7 22.2328927345 21.1328927345 8.2042724078 0.0147006938728
128.8 22.2345793151 21.1345793151 8.18347880659 0.0148520640861
128.9 22.2362645868 21.1362645868 8.16274378097 0.0147835269271
129.0 22.2379485515 21.1379485515 8.1420671824 0.0135565248143
129.1 22.2396312113 21.1396312113 8.12144886237 0.0177961107837
129.2 22.2413125683 21.1413125683 8.1008886724 0.0155139744197
129.3 22.2429926244 21.1429926244 8.08038646406 0.0172454523978
129.4 22.2446713817 21.1446713817 8.05994208897 0.0136502706519
129.5 22.2463488421 21.1463488421 8.03955539878 0.01687514751
129.6 22.2480250077 21.1480250077 8.01922624522 0.0167279629849
129.7 22.2496998804 21.1496998804 7.99895448005 0.0166903409091
129.8 22.2513734623 21.1513734623 7.97873995512 0.0169612145653
129.9 22.2530457554 21.1530457554 7.95858252234 0.0205574912892
130.0 22.2547167615 21.1547167615 7.93848203369 0.0195127719962
130.1 22.2563864828 21.1563864828 7.91843834121 0.0214218455744
130.2 22.2580549212 21.1580549212 7.89845129705 0.0174708818636
130.3 22.2597220786 21.1597220786 7.87852075342 0.0196822385582
130.4 22.261387957 21.161387957 7.85864656263 0.0192512105823
