# r frac rho dNdR
0.0 0.0 inf nan
0.1 0.0 15135612.4844 0.0
0.2 0.0 1494719.89288 0.0
0.3 0.0 385846.894561 0.0
0.4 0.0 147611.308129 0.0
0.5 0.0 70055.1690683 0.0
0.6 0.0 38104.3733446 0.0
0.7 0.0 22770.4989143 0.0
0.8 0.0 14577.3789401 0.0
0.9 0.0 9836.26042196 0.0
1.0 0.0 6918.30970919 0.0
1.1 0.0 5032.09036632 0.0
1.2 0.0 3763.00363811 0.0
1.3 0.0 2880.24348735 0.0
1.4 0.0 2248.70435425 0.0
1.5 0.0 1785.89201202 0.0
1.6 0.0 1439.59144767 0.0
1.7 0.0 1175.71105713 0.0
1.8 0.0 971.381510949 0.0
1.9 0.0 810.89191969 0.0
2.0 0.0 683.218809816 0.0
2.1 0.0 580.48039369 0.0
2.2 0.0 496.944909303 0.0
2.3 0.0150810314735 428.379843363 429.462858131
2.4 0.0622682900329 371.61604135 1674.91873223
2.5 0.117217361258 324.250288401 2985.1227407
2.6 0.145823762775 284.438917904 3523.49677343
2.7 0.178324317708 250.752359168 4096.31165427
2.8 0.210546101265 222.071167253 4606.43880324
2.9 0.205814819134 197.510726754 4296.088196
3.0 0.290198870508 176.366058503 5788.46085223
3.1 0.266589536511 158.070906033 5088.95128923
3.2 0.318729786427 142.167089483 5830.84564413
3.3 0.341940017102 128.281326111 6002.76184873
3.4 0.337577599344 116.107538243 5693.79380542
3.5 0.385189571986 105.393234192 6249.32636406
3.6 0.390629867335 95.9289404037 6102.81154478
3.7 0.40028500574 87.5399393963 6028.21698024
3.8 0.42473292401 80.0797645014 6171.85582052
3.9 0.42099345524 73.4250435072 5908.24688893
4.0 0.464421686584 67.4713855996 6300.31069599
4.1 0.45868714801 62.1300808206 6019.99413008
4.2 0.472187265703 57.3254364677 6000.2602212
4.3 0.464327094215 52.9926159041 5717.23652691
4.4 0.470081984651 49.0758760087 5612.50686473
4.5 0.474512005638 45.5271227096 5497.33623393
4.6 0.468752906945 42.3047216783 5273.0069478
4.7 0.473206260006 39.3725147615 5171.88924084
4.8 0.479611891218 36.6990031022 5096.08365003
4.9 0.466651484071 34.2566659486 4823.24994607
5.0 0.483582900386 32.0213904026 4864.755233
5.1 0.472190001124 29.9719922641 4625.75486733
5.2 0.460127605122 28.0898119808 4391.81131083
5.3 0.492756301242 26.358372763 4584.71543945
5.4 0.466435752386 24.7630903487 4232.47164848
5.5 0.474449145919 23.2910258335 4200.62129097
5.6 0.480951780316 21.930674538 4156.6115927
5.7 0.473365372239 20.6717851266 3995.15876471
5.8 0.487067185211 19.5052042089 4016.1065261
5.9 0.478289989593 18.4227424674 3854.42375987
6.0 0.473635134112 17.4170590285 3731.90946417
6.1 0.480168277231 16.4815613377 3700.50801935
6.2 0.47352951436 15.6103182462 3570.68922639
6.3 0.485539154108 14.7979843888 3583.58561928
6.4 0.474586572406 14.0397342348 3429.60532915
6.5 0.483399379257 13.3312044473 3421.46462801
6.6 0.477626991153 12.668443396 3312.14889264
6.7 0.481201036313 12.0478668447 3270.36466954
6.8 0.479646859002 11.4662189789 3195.7259247
6.9 0.479802030729 10.9205380638 3134.83122654
7.0 0.479822545063 10.4081261253 3075.09927143
7.1 0.481569644846 9.92652213338 3028.18762707
7.2 0.480023125028 9.47347824028 2962.4189609
7.3 0.482211520546 9.04693869066 2921.42548417
7.4 0.481360139753 8.64502107014 2863.58107889
7.5 0.482780256715 8.26599960651 2820.83232938
7.6 0.482261587654 7.90829027505 2768.23096266
7.7 0.483285215134 7.57043749245 2725.9369185
7.8 0.483192510514 7.25110221201 2678.6951448
7.9 0.483405540327 6.94905125688 2634.51809146
8.0 0.483951915959 6.66314774904 2593.41187445
8.1 0.483690672918 6.39234250933 2549.22196363
8.2 0.484556328135 6.13566631971 2512.13845442
8.3 0.484184854531 5.89222295194 2469.76948634
8.4 0.484649468067 5.66118287876 2432.78293704
8.5 0.4846900087 5.44177759359 2394.70803239
8.6 0.484730101709 5.23329447349 2357.66409461
8.7 0.48459078263 5.035072128 2320.75457199
8.8 0.484659806104 4.84649618285 2285.80978539
8.9 0.484837828124 4.66699545352 2252.28711456
9.0 0.485158385126 4.49603846885 2220.2835598
9.1 0.485052471804 4.33313030902 2187.17292124
9.2 0.485553201322 4.17780972659 2157.6003168
9.3 0.485569047996 4.02964652247 2126.63867822
9.4 0.485626853541 3.88823915169 2096.62728819
9.5 0.486075752495 3.7532125369 2069.01762442
9.6 0.486014531654 3.62421606937 2039.93188608
9.7 0.486305992235 3.50092177986 2013.00735208
9.8 0.486459719634 3.38302266326 1986.15806337
9.9 0.486659451145 3.27023114269 1960.1254397
10.0 0.486844058693 3.16227766017 1934.63810911
10.1 0.487000651456 3.05890938238 1909.62796224
10.2 0.487245537878 2.95988901094 1885.53025078
10.3 0.487368581381 2.86499368796 1861.51059122
10.4 0.487592565922 2.77401398841 1838.40953944
10.5 0.487776239644 2.68675299152 1815.66969365
10.6 0.487882220403 2.60302542454 1793.14329345
10.7 0.48811639813 2.52265687247 1771.57278425
10.8 0.488289199673 2.44548304811 1750.24622663
10.9 0.48842600455 2.37134911744 1729.24741515
11.0 0.488587349329 2.30010907552 1708.77894359
11.1 0.488743214764 2.23162516885 1688.72064814
11.2 0.488704915508 2.16576736025 1668.41628766
11.3 0.488580136028 2.10241283286 1648.24040351
11.4 0.48873359507 2.04144553 1629.40691948
11.5 0.488840691028 1.98275572814 1610.80180392
11.6 0.48891159538 1.92623964017 1592.45253267
11.7 0.488980108437 1.87179904675 1574.46134198
11.8 0.489039645209 1.81934095338 1556.79720043
11.9 0.489067370451 1.76877727132 1539.37923625
12.0 0.489032733491 1.72002452046 1522.10609141
12.1 0.489004717407 1.67300355245 1505.18720037
12.2 0.488937896442 1.6276392926 1488.4744718
12.3 0.488687109072 1.58386049908 1471.52585706
12.4 0.488295247942 1.54159953823 1454.47849251
12.5 0.488106519078 1.50079217461 1438.35157971
12.6 0.487844612969 1.46137737493 1422.31191168
12.7 0.487449199123 1.4232971247 1406.18428181
12.8 0.486873985632 1.38649625664 1389.84085844
12.9 0.486459213129 1.35092229022 1374.25107449
13.0 0.485766813353 1.31652528128 1358.16837366
13.1 0.485167969184 1.28325768123 1342.63649813
13.2 0.484586990288 1.25107420498 1327.43280637
13.3 0.484008070217 1.21993170716 1312.5059115
13.4 0.483425041127 1.18978906589 1297.83229562
13.5 0.482872461932 1.16060707381 1283.49757559
13.6 0.482311657369 1.13234833552 1269.39120701
13.7 0.481761464437 1.10497717145 1255.5567938
13.8 0.481234992878 1.07845952727 1242.0214254
13.9 0.480663019385 1.05276288888 1228.60065331
14.0 0.48014922263 1.02785620226 1215.55475429
14.1 0.479626179195 1.00370979816 1202.70504583
14.2 0.479111059365 0.980295321062 1190.08965042
14.3 0.478570221672 0.957585662314 1177.62019726
14.4 0.478089934748 0.935554897107 1165.50388414
14.5 0.477581684225 0.914178225018 1153.5180743
14.6 0.477077951985 0.89343191394 1141.73781009
14.7 0.476578663225 0.873293247163 1130.15817338
14.8 0.476088973587 0.853740473417 1118.78668366
14.9 0.475586664911 0.834752759686 1107.5668106
15.0 0.475114104898 0.816310146624 1096.59307901
15.1 0.474629142261 0.798393506416 1085.76329281
15.2 0.473879429038 0.780984502937 1074.50220907
15.3 0.47338976955 0.76406555406 1064.00143788
15.4 0.472947205326 0.74761979599 1053.76740679
15.5 0.472487314633 0.731631049509 1043.65159581
15.6 0.472056188941 0.716083788004 1033.7525601
15.7 0.471601798358 0.700963107188 1023.95243313
15.8 0.471176952884 0.686254696399 1014.36301703
15.9 0.470751774976 0.671944811404 1004.91582099
16.0 0.470323045221 0.658020248599 995.601051003
16.1 0.469891982455 0.644468320544 986.41853709
16.2 0.469473240193 0.631276832744 977.396067222
16.3 0.46906734185 0.618434061613 968.531323677
16.4 0.468656918764 0.605928733547 959.785402754
16.5 0.468250851546 0.593750005048 951.173965238
16.6 0.467851318652 0.581887443843 942.698647369
16.7 0.467448920033 0.570331010931 934.337873605
16.8 0.467082487015 0.55907104353 926.166376812
16.9 0.466660478964 0.548098238839 918.00004458
17.0 0.466296361984 0.537403638613 910.060650285
17.1 0.465906475782 0.526978614468 902.181304124
17.2 0.465530151219 0.5168148539 894.436594829
17.3 0.465158285176 0.506904346979 886.80645701
17.4 0.464804410177 0.497239373667 879.314250217
17.5 0.464415254479 0.487812491739 871.857193554
17.6 0.464065348198 0.47861652528 864.573719201
17.7 0.463697535513 0.469644553708 857.354585099
17.8 0.463352452599 0.46088990132 850.273271342
17.9 0.462995944292 0.452346127312 843.26483319
18.0 0.462566835398 0.444007016265 836.21739821
18.1 0.462017667553 0.435866569063 829.04700934
18.2 0.4616852187 0.427918994227 822.356585308
18.3 0.461339126994 0.420158699638 815.72860753
18.4 0.461009119637 0.412580284639 809.214205065
18.5 0.460585393174 0.405178532482 802.619873053
18.6 0.460057525504 0.39794840312 795.929603428
18.7 0.459685737799 0.39088502631 789.592729637
18.8 0.459204523146 0.38398369503 783.149190219
18.9 0.458885053817 0.377239859178 777.06072526
19.0 0.458576425216 0.370649119544 771.066372508
19.1 0.458151609585 0.364207222052 764.952324329
19.2 0.45768316155 0.35791005224 758.841637126
19.3 0.457363593185 0.351753629988 753.051470853
19.4 0.457054942959 0.345734104462 747.349857465
19.5 0.456708511033 0.339847749277 741.656128582
19.6 0.456196829539 0.334090957868 735.76477351
19.7 0.455537698579 0.328460239048 729.708565826
19.8 0.455029507969 0.322952212758 723.965832138
19.9 0.45473366312 0.317563605991 718.627524106
20.0 0.454462118053 0.312291248889 713.390559728
20.1 0.454180908927 0.307132070996 708.200162675
20.2 0.453831498927 0.302083097666 702.964938595
20.3 0.453348565553 0.297141446621 697.585458797
20.4 0.453079059649 0.292304324646 692.595124698
20.5 0.452806312025 0.287569024419 687.657465765
20.6 0.452547802785 0.282932921465 682.798014196
20.7 0.452261671813 0.278393471238 677.952684739
20.8 0.452013122642 0.273948206316 673.218494664
20.9 0.451742993073 0.269594733706 668.505932459
21.0 0.45147854783 0.265330732259 663.854844005
21.1 0.45122043919 0.261153950181 659.265179001
21.2 0.45097575747 0.257062202652 654.746230921
21.3 0.450709730884 0.253053369522 650.246659923
21.4 0.450457136895 0.249125393113 645.816118166
21.5 0.450218383976 0.245276276092 641.454051462
21.6 0.449957742173 0.241504079434 637.108745118
21.7 0.449729437949 0.237806920461 632.856342235
21.8 0.449463679025 0.234182970954 628.597667134
21.9 0.44922820814 0.230630455337 624.427137256
22.0 0.44899785768 0.227147648932 620.308511829
22.1 0.448759470605 0.223732876275 616.222915358
22.2 0.44851362094 0.220384509498 612.170665611
22.3 0.448285345153 0.217100966774 608.185258324
22.4 0.447907915275 0.213880710811 604.040775787
22.5 0.44756209723 0.210722247409 599.982509279
22.6 0.447350950965 0.207624124069 596.146392817
22.7 0.447106184777 0.20458492865 592.305673803
22.8 0.446899338922 0.201603288077 588.554766524
22.9 0.446668752013 0.198677867096 584.811479415
23.0 0.446438596806 0.19580736707 581.107255873
23.1 0.446235595187 0.192990524827 577.47610821
23.2 0.446016648651 0.190226111536 573.861427575
23.3 0.44556959218 0.187512931638 569.991625168
