# a rho dNda dNdaerr
24.7 0.156120328254 529.306551624 3305.19593494
24.8 0.153766482628 525.328233406 3328.82024218
24.9 0.151457385249 521.371046582 3352.35914801
25.0 0.149192010803 517.512946171 3376.31882418
25.1 0.146969361439 513.655312433 3400.06635792
25.2 0.144788465924 509.859995586 3424.00902654
25.3 0.142648378839 505.994027645 3447.25081279
25.4 0.140548179785 502.140321176 3470.33569536
25.5 0.138486972635 498.384920728 3493.86201126
25.6 0.136463884795 494.579293075 3516.79459727
25.7 0.1344780665 490.9924062 3541.049624
25.8 0.132528690134 487.372008956 3564.84060147
25.9 0.130614949563 483.67263351 3587.81184265
26.0 0.128736059504 479.882670324 3609.84305048
26.1 0.126891254905 476.225912237 3632.60406025
26.2 0.12507979035 472.874850303 3657.46268791
26.3 0.123300939481 469.499480527 3681.92114529
26.4 0.121553994443 466.198060214 3706.74505352
26.5 0.119838265344 462.945019929 3731.74482285
26.6 0.118153079732 459.705028982 3756.64014937
26.7 0.116497782096 456.502494867 3781.62999584
26.8 0.11487173337 453.33567976 3806.70483623
26.9 0.113274310469 450.215931269 3831.96589566
27.0 0.111704905826 447.119289672 3857.21520932
27.1 0.110162926954 444.052448827 3882.51189791
27.2 0.108647796017 441.011603982 3907.82528408
27.3 0.107158949412 438.034459695 3933.49575738
27.4 0.105695837374 435.052580041 3958.91604159
27.5 0.104257923582 432.118540393 3984.56191017
27.6 0.102844684788 429.193265133 4010.07842629
27.7 0.101455610448 426.118705483 4033.96532406
27.8 0.100090202372 423.278097738 4059.83521146
27.9 0.0987479743792 420.462167329 4085.73488275
28.0 0.0974284519714 417.671128841 4111.66866179
28.1 0.0961311720078 414.914629883 4137.73515826
28.2 0.0948556823961 412.192945549 4163.94340418
28.3 0.0936015417901 409.495266208 4190.18932985
28.4 0.0923683192981 406.816188149 4216.41937728
28.5 0.0911555941993 404.189328515 4242.98684067
28.6 0.089962955669 401.545155451 4269.16648031
28.7 0.088790002513 398.963937281 4295.80863184
28.8 0.0876363429086 396.407956443 4322.52081557
28.9 0.0865015941546 393.851417008 4349.021769
29.0 0.0853853824281 391.345861542 4375.88074671
29.1 0.0842873425492 388.847964418 4402.6218012
29.2 0.0832071177522 386.272955914 4428.26960219
29.3 0.0821443594638 383.808311411 4454.96028841
29.4 0.0810987270878 381.3808849 4481.87491369
29.5 0.0800698877965 378.992298461 4509.04222951
29.6 0.0790575163277 376.613306081 4536.12037704
29.7 0.0780612947883 374.275150437 4563.48791336
29.8 0.0770809124628 371.958533178 4590.91830916
29.9 0.0761160656284 369.647997774 4618.22163798
30.0 0.0751664573745 367.376584502 4645.81195099
30.1 0.0742317974283 365.127178114 4673.48162746
30.2 0.0733118019848 362.862713714 4700.75424716
30.3 0.0724061935416 360.576017043 4727.52221847
30.4 0.0715147007396 358.299296418 4754.19579802
30.5 0.0706370582065 356.112248029 4781.8431623
30.6 0.069773006406 353.979382765 4810.01848932
30.7 0.0689222914913 351.728402628 4836.37249571
30.8 0.0680846651619 349.543612043 4863.4053774
30.9 0.0672598845252 347.476449165 4891.86716018
31.0 0.0664477119614 345.384961789 4919.78781908
31.1 0.0656479149931 343.347352392 4948.27599678
31.2 0.0648602661575 341.311301378 4976.58979899
31.3 0.0640845428827 339.290662407 5004.92821596
31.4 0.0633205273676 337.230105978 5032.46729899
31.5 0.0625680064645 335.158575804 5059.61704012
31.6 0.0618267715657 333.210728376 5088.42158045
31.7 0.0610966184925 331.269799596 5117.13608601
31.8 0.060377347388 329.349886351 5145.97845345
31.9 0.0596687626121 327.444080871 5174.84473327
32.0 0.0589706726396 325.412190401 5201.49564841
32.1 0.0582828899617 323.535145176 5230.39793781
32.2 0.0576052309888 321.666180997 5259.23064287
32.3 0.0569375159576 319.827564374 5288.36042791
32.4 0.0562795688393 318.019700486 5317.80503972
32.5 0.0556312172509 316.209782208 5347.02114345
32.6 0.0549922923689 314.423011954 5376.43267547
32.7 0.054362628845 312.644744826 5405.79379305
32.8 0.0537420647246 310.812402406 5434.00949431
32.9 0.0531304413667 309.000166148 5462.35375305
33.0 0.0525276033664 307.267087412 5491.88766786
33.1 0.0519333984794 305.566398862 5521.80687852
33.2 0.0513476775487 303.860643903 5551.44060504
33.3 0.0507702944322 302.197064956 5581.65268953
33.4 0.0502011059339 300.411711335 5609.40159749
33.5 0.0496399717352 298.629205415 5636.9596779
33.6 0.0490867543291 296.936249151 5665.97684306
33.7 0.0485413189555 295.175337785 5693.46439498
33.8 0.0480035335387 293.56903519 5723.71324284
33.9 0.0474732686257 291.970225547 5753.91536919
34.0 0.0469503973271 290.388983969 5784.27065476
34.1 0.0464347952588 288.815352651 5814.58429828
34.2 0.0459263404852 287.128831715 5842.4037832
34.3 0.0454249134644 285.586010898 5872.92677461
34.4 0.0449303969941 284.066645922 5903.74227025
34.5 0.0444426761593 282.508704645 5933.55741288
34.6 0.0439616382813 280.91742813 5962.4523635
34.7 0.0434871728676 279.419378275 5993.11367743
34.8 0.0430191715637 277.938886332 6023.95846203
34.9 0.0425575281056 276.418105086 6053.72634871
35.0 0.0421021382736 274.897162605 6083.27231947
35.1 0.0416528998472 273.458011363 6114.42305287
35.2 0.0412097125614 272.030409936 6145.64294184
35.3 0.0407724780638 270.620399153 6177.07267308
35.4 0.0403410998728 269.214550158 6208.4097106
35.5 0.0399154833368 267.818214218 6239.77646168
35.6 0.0394955355947 266.432036265 6271.18967813
35.7 0.0390811655369 265.061374932 6302.77887768
35.8 0.0386722837675 263.705108323 6334.52317648
35.9 0.0382688025676 262.358349486 6366.30935708
36.0 0.0378706358592 260.991527716 6397.41445542
36.1 0.0374776991697 259.630282156 6428.45322523
36.2 0.0370899095983 258.32463254 6460.67554496
36.3 0.0367071857819 257.011663189 6492.52874266
36.4 0.0363294478629 255.71314432 6524.5576841
36.5 0.0359566174569 254.317062352 6553.88167559
36.6 0.035588617622 253.033890612 6585.89849953
36.7 0.0352253728281 251.770730886 6618.24825613
36.8 0.0348668089273 250.50815589 6650.42579065
36.9 0.0345128531252 249.263503038 6682.89139332
37.0 0.0341634339523 247.998686043 6714.62306893
37.1 0.0338184812364 246.754635757 6746.718847
37.2 0.0334779260758 245.537182071 6779.35129748
37.3 0.0331417008131 244.321207198 6811.83665233
37.4 0.032809739009 243.132788398 6844.90534504
37.5 0.0324819754177 241.936762576 6877.57550222
37.6 0.032158345962 240.76210509 6910.6676777
37.7 0.0318387877094 239.588264258 6943.59916816
37.8 0.031523238849 238.426145483 6976.68494159
37.9 0.0312116386682 237.27274948 7009.84144827
38.0 0.0309039275305 236.083239813 7041.73394311
38.1 0.0306000468538 234.876774696 7072.90355729
38.2 0.0302999390888 233.757829813 7106.50676876
38.3 0.0300035476984 232.630010912 7139.65605398
38.4 0.0297108171372 231.523753274 7173.28190617
38.5 0.0294216928316 230.423307493 7206.90594577
38.6 0.0291361211603 229.322596613 7240.33676288
38.7 0.0288540494352 228.193540027 7272.6744712
38.8 0.0285754258832 227.117683032 7306.51218573
38.9 0.0283001996275 226.048243459 7340.37402016
39.0 0.0280283206699 224.98200299 7374.15568741
39.1 0.0277597398739 223.931867509 7408.2824382
39.2 0.0274944089472 222.885540945 7442.35392165
39.3 0.0272322804253 221.84648808 7476.4858536
39.4 0.026973307655 220.755625508 7508.67081042
39.5 0.0267174447792 219.701443411 7541.89301247
39.6 0.0264646467205 218.692824075 7576.49005942
39.7 0.0262148691664 217.637128022 7609.26178851
39.8 0.0259680685546 216.631320069 7643.57968992
39.9 0.0257242020583 215.643177036 7678.33989383
40.0 0.0254832275719 214.649872651 7712.73489123
40.1 0.0252451036971 213.673202434 7747.54543255
40.2 0.0250097897295 212.653962897 7780.61727482
40.3 0.024777245645 211.665059104 7814.59526148
40.4 0.0245474320872 210.699992681 7849.2629084
40.5 0.024320310354 209.701142756 7882.47371843
40.6 0.0240958423858 208.709669296 7915.75004039
40.7 0.0238739907528 207.746685981 7949.90264041
40.8 0.0236547186434 206.736385085 7982.02916169
40.9 0.0234379898524 205.819303222 8017.55064007
41.0 0.0232237687694 204.898412862 8052.7458794
41.1 0.0230120203678 203.980569666 8087.87841217
41.2 0.0228027101939 203.085296442 8123.72802946
41.3 0.0225958043558 202.179598537 8158.98279556
41.4 0.0223912695134 201.293927339 8194.86703769
41.5 0.0221890728677 200.402416122 8230.33559889
41.6 0.0219891821511 199.466747903 8263.79047295
41.7 0.0217915656173 198.558058071 8298.15220216
41.8 0.0215961920315 197.690377508 8334.0371794
41.9 0.0214030306615 196.826404325 8369.89986231
42.0 0.0212120512679 195.975486945 8406.14111648
42.1 0.0210232240953 195.114319887 8441.76294195
42.2 0.0208365198635 194.274879301 8478.14509485
42.3 0.0206519097586 193.43580034 8514.36743859
42.4 0.0204693654246 192.601350134 8550.61567536
42.5 0.0202888589551 191.77142857 8586.88644152
42.6 0.0201103628851 190.956266342 8623.64280032
42.7 0.019933850183 190.133898842 8659.89727086
42.8 0.0197592942426 189.315124483 8696.13339211
42.9 0.019586668876 188.392278339 8727.36358018
43.0 0.0194159483052 187.48584436 8759.08975801
43.1 0.0192471071557 186.636618323 8793.2485184
43.2 0.0190801204483 185.838935587 8829.63417073
43.3 0.018914963593 185.06852645 8867.14133474
43.4 0.0187516123813 184.27656788 8903.4399339
43.5 0.0185900429797 183.509257043 8940.75058279
43.6 0.0184302319233 182.74260468 8977.92073569
43.7 0.0182721561088 181.978667718 9015.04912019
43.8 0.0181157927885 181.212530146 9051.88953299
43.9 0.0179611195637 180.470321314 9089.75128255
44.0 0.017808114379 179.715142794 9126.78642857
44.1 0.0176567555159 178.974166257 9164.36604877
44.2 0.0175070215869 178.235902677 9201.9109831
44.3 0.01735889153 177.501925544 9239.50266021
44.4 0.0172123446029 176.770954287 9277.07543395
44.5 0.0170673603773 176.04810281 9314.8998328
44.6 0.0169239187337 175.194143267 9345.55549567
44.7 0.0167819998558 174.454188287 9382.04927162
44.8 0.0166415842255 173.743617325 9419.93812326
44.9 0.0165026526177 173.041266235 9458.10001679
45.0 0.0163651860949 172.336150591 9495.93674594
45.1 0.0162291660031 171.639662958 9534.07359677
45.2 0.0160945739659 170.952869457 9572.57798767
45.3 0.0159613918807 170.184982404 9606.33455215
45.4 0.0158296019134 169.464354849 9642.5324366
45.5 0.0156991864941 168.782045179 9680.7190172
45.6 0.0155701283126 168.103436997 9718.9415857
45.7 0.0154424103141 167.439661914 9757.8501557
45.8 0.0153160156946 166.772635228 9796.39925019
45.9 0.0151909278969 166.11015719 9835.04242606
46.0 0.0150671306063 165.454109044 9873.89458482
46.1 0.0149446077467 164.794753205 9912.37536132
46.2 0.0148233434767 164.145793951 9951.30712946
46.3 0.0147033221851 163.501930857 9990.37713716
46.4 0.0145845284879 162.861813389 10029.5058394
46.5 0.0144669472237 162.158165157 10064.5193831
46.6 0.0143505634507 161.515012242 10103.0795425
46.7 0.0142353624425 160.880939628 10142.029526
46.8 0.0141213296849 160.263789231 10181.8771685
46.9 0.0140084508724 159.634776522 10220.8008835
47.0 0.0138967119044 158.978964731 10257.8156273
47.1 0.0137860988823 158.335782163 10295.4412494
47.2 0.0136765981059 157.71932261 10334.61633
47.3 0.0135681960702 157.086969803 10372.563522
47.4 0.0134608794622 156.448972094 10409.9368357
47.5 0.013354635158 155.800136746 10446.3756142
47.6 0.0132494502194 155.180916917 10484.5924138
47.7 0.0131453118909 154.588489487 10524.4369225
47.8 0.0130422075972 154.00124385 10564.4646269
47.9 0.0129401249397 153.416024273 10604.4619379
48.0 0.0128390516941 152.832284207 10644.3904273
48.1 0.0127389758071 152.22129942 10682.2331385
48.2 0.0126398853943 151.614614988 10720.1735491
48.3 0.012541768737 151.043026707 10760.4086363
48.4 0.0124446142798 150.471479468 10800.4749467
48.5 0.0123484106277 149.911244109 10841.1841007
48.6 0.0122531465439 149.342995749 10881.14296
48.7 0.0121588109472 148.795882945 10922.4746148
48.8 0.0120653929094 148.236593551 10962.7467168
48.9 0.0119728816528 147.682628648 11003.2396635
49.0 0.0118812665482 147.136539734 11044.1503136
49.1 0.0117905371121 146.593538072 11085.1262363
49.2 0.011700683005 146.050741051 11125.9495914
49.3 0.0116116940283 145.511838326 11166.9004464
49.4 0.011523560123 144.97729692 11208.0180768
49.5 0.0114362713667 144.439554986 11248.717598
49.6 0.0113498179723 143.916337265 11290.3806224
49.7 0.0112641902851 143.334363932 11327.2377112
49.8 0.0111793787811 142.805772223 11368.1102351
49.9 0.0110953740653 142.285031621 11409.4364931
50.0 0.0110121668689 141.769350705 11451.0013551
50.1 0.0109297480482 141.252332056 11492.2898679
50.2 0.0108481085821 140.743451357 11534.0728461
50.3 0.0107672395705 140.237602096 11575.9398897
50.4 0.0106871322323 139.725373321 11617.1106506
50.5 0.0106077779035 139.228579591 11659.3971309
50.6 0.0105291680358 138.696225636 11698.5226117
50.7 0.0104512941944 138.169576078 11737.9246556
50.8 0.0103741480565 137.660992683 11778.6677791
50.9 0.0102977214094 137.089506305 11813.8040273
51.0 0.0102220061491 136.57904701 11853.969823
51.1 0.0101469942785 136.061491947 11893.3197857
51.2 0.0100726779058 135.577733179 11935.4370537
51.3 0.00999904924287 135.100683992 11977.9799875
51.4 0.00992610060376 134.562528044 12014.9027419
51.5 0.00985382440315 134.087257909 12057.2357048
51.6 0.0097822131548 133.61470321 12099.6461093
51.7 0.00971125947012 133.147233509 12142.3519998
51.8 0.00964095605667 132.677773347 12184.7101397
51.9 0.00957129571675 132.209633935 12227.0196944
52.0 0.00950227134598 131.757499535 12270.6475401
52.1 0.00943387593191 131.294704889 12313.1209907
52.2 0.00936610255267 130.836563597 12355.8621624
52.3 0.00929894437562 130.379214834 12398.5098647
52.4 0.00923239465604 129.924360532 12441.2254392
52.5 0.0091664467358 129.43783399 12480.7162107
52.6 0.00910109404216 128.987736903 12523.5275178
52.7 0.00903633008643 128.535381728 12565.9470362
52.8 0.0089721484628 128.047776749 12604.7193734
52.9 0.00890854284709 127.606281542 12647.8335929
53.0 0.00884550699558 127.16870815 12691.1701337
53.1 0.00878303474385 126.680099973 12729.2116897
53.2 0.00872112000557 126.248898037 12772.820863
53.3 0.00865975677143 125.820492528 12816.5503997
53.4 0.00859893910798 125.393414626 12860.2523901
53.5 0.00853866115657 124.966562145 12903.8127176
53.6 0.00847891713222 124.542981039 12947.5454227
53.7 0.0084197013226 124.125265281 12991.7258264
53.8 0.00836100808699 123.701379754 13035.0951124
53.9 0.00830283185521 123.290485208 13079.669774
54.0 0.00824516712663 122.876249822 13123.7302875
54.1 0.00818800846919 122.460911838 13167.5070994
54.2 0.00813135051842 122.053839787 13212.0088798
54.3 0.00807518797642 121.646202122 13256.2881562
54.4 0.00801951561101 121.239222995 13300.4749715
54.5 0.00796432825471 120.836576295 13344.9734786
54.6 0.00790962080387 120.435303626 13389.4613168
54.7 0.00785538821775 119.99375615 13429.2773363
54.8 0.00780162551762 119.589402824 13473.0562982
54.9 0.00774832778594 119.186014155 13516.7694602
55.0 0.00769549016542 118.748164909 13556.37175
55.1 0.00764310785822 118.356247223 13601.0203422
55.2 0.00759117612514 117.947836464 13643.5953739
55.3 0.00753969028472 117.538886516 13685.9137538
55.4 0.00748864571253 117.15235031 13730.6612192
55.5 0.00743803784028 116.773752671 13776.1786396
55.6 0.00738786215513 116.38769753 13820.6532243
55.7 0.00733811419883 116.013544691 13866.3786381
55.8 0.00728878956705 115.635586878 13911.4901
55.9 0.00723988390856 115.261078028 13956.8541403
56.0 0.00719139292454 114.887168673 14002.128685
56.1 0.00714331236783 114.517859476 14047.8029956
56.2 0.00709563804224 114.148573673 14093.3200542
56.3 0.00704836580185 113.780948302 14138.8804502
56.4 0.00700149155029 113.411642813 14184.0674847
56.5 0.00695501124011 113.05331417 14230.4673709
56.6 0.00690892087204 112.689311523 14275.9944611
56.7 0.00686321649442 112.33094891 14322.0745946
56.8 0.00681789420248 111.970259911 14367.6964824
56.9 0.00677295013773 111.595846165 14411.3795594
57.0 0.00672838048735 111.163985664 14447.4046082
57.1 0.00668418148352 110.809554948 14493.2666837
57.2 0.00664034940285 110.461569113 14539.8120504
57.3 0.0065968805658 110.111946487 14585.9834892
