# N l b R fracMedian appU appV Au Av SNR
1 95.3440734471 -61.2835329394 123.5 0.000125057497482 22.3359914834 21.2255084179 0.19265669547 0.182173629887 7.03400429078
2 99.9082712555 -62.1733175948 125.3 0.000123741890301 22.3362090047 21.2274237964 0.161453649756 0.152668441461 7.02778663748
3 104.722343218 -62.9063377544 113.3 0.000109469536918 22.3387340701 21.2179164255 0.382584520802 0.361766876169 7.02757237377
4 109.752610824 -63.4695115428 128.6 0.000121176270918 22.3349900252 21.2293427422 0.103785182228 0.0981378992768 7.03389390309
5 114.950797418 -63.851798131 128.5 0.000118820987302 22.3361195072 21.2303188505 0.106603868874 0.100803212187 7.02197684494
6 120.255752214 -64.0451605136 127.8 0.000116016392151 22.3360268562 21.229585826 0.11837258704 0.111931556843 7.02443835478
7 125.597410955 -64.0453544449 122.8 0.00010796731459 22.3357640216 21.2246217134 0.204772187546 0.193629879378 7.03797334049
8 130.902511204 -63.8523756065 116.9 9.44631310512e-05 22.3380647076 21.2209793927 0.313992151823 0.296906836869 7.02642636819
9 136.100976192 -63.4704600701 110.3 7.30071756727e-05 22.3391859089 21.2151729135 0.441308346689 0.417295351297 7.02985320243
10 141.131632624 -62.9076379538 120.5 9.74818614784e-05 22.3369496405 21.2235087984 0.247014405951 0.233573563881 7.03029812875
11 145.946175613 -62.174945011 125.1 0.00010295287893 22.3356847854 21.2267393528 0.164398236983 0.155452804301 7.03384564264
12 150.510897182 -61.285460022 126.9 0.000103553786373 22.3363615516 21.2290672761 0.134053441091 0.126759165586 7.02274443309
13 154.806344861 -60.2533398708 126.5 0.000101522491445 22.3357658394 21.2281309498 0.140313211856 0.132678322249 7.02998664687
14 158.825506669 -59.0929815161 125.2 9.82166676418e-05 22.3353778377 21.2265435191 0.162356193308 0.153521874739 7.03692961194
15 162.571242354 -57.8183786026 125.6 9.72259692447e-05 22.335124178 21.2266805577 0.155175980981 0.146732360678 7.03879934697
16 166.053571238 -56.4426853059 125.8 9.62491955256e-05 22.3367735521 21.2284281821 0.153370346567 0.145024976593 7.02065989138
17 169.2872162 -54.9779637259 125.2 9.40192482098e-05 22.3364093928 21.2275189441 0.163387748469 0.154497299692 7.02584961278
18 172.289596996 -53.4350746099 126.2 9.42334321465e-05 22.3363430142 21.2283961722 0.146046239631 0.138099397688 7.0244278096
19 175.079315573 -51.8236690122 120.7 8.37916195128e-05 22.3370621811 21.2238111636 0.243525830656 0.230274813101 7.02864588363
20 177.675089027 -50.1522441887 113.8 6.51777494894e-05 22.3387022298 21.2184066037 0.372990919538 0.352695293363 7.02674246387
21 180.095048524 -48.4282355136 116.0 7.04643970659e-05 22.3372265155 21.2192736139 0.329936569408 0.311983667813 7.03749349737
22 182.356316143 -46.6581246767 116.4 7.05053210898e-05 22.3387234594 21.2210958405 0.323958557844 0.306330938935 7.0204991316
23 184.474781271 -44.847551209 112.7 5.93876729501e-05 22.3385062707 21.217073639 0.393886690512 0.372454058759 7.03143195003
24 186.465013201 -43.0014196943 92.3 0.0 22.34354926 21.1982480609 0.832540754899 0.787239555724 7.02994593453
25 188.340262259 -41.1239985192 106.6 3.26817669209e-05 22.3403128621 21.2122069886 0.51652683869 0.48842096512 7.02679676294
26 190.112515163 -39.2190083668 85.5 0.0 22.3445321193 21.190135168 0.999701545611 0.94530459439 7.03935569703
27 191.792580882 -37.2897000867 79.2 0.0 22.3479256765 21.1843003447 1.16929976851 1.10567443678 7.0227246079
28 193.390191205 -35.3389223841 90.8 0.0 22.3429010716 21.1956991612 0.867471828982 0.820269918598 7.04120407057
29 194.914105832 -33.3691801903 109.2 4.44553420478e-05 22.3402123091 21.2149591952 0.464099117294 0.438846003346 7.02149274704
30 196.372215747 -31.3826847477 120.4 7.4905273713e-05 22.3371125104 21.22356471 0.248980075829 0.235432275388 7.02877106925
31 197.771641284 -29.381396469 124.8 8.24280343744e-05 22.3365950095 21.2273163588 0.170522082746 0.161243432075 7.02471544656
32 199.118823023 -27.3670615776 115.3 6.19728051793e-05 22.3372809282 21.2186098909 0.34313439168 0.324463354461 7.03852387494
33 200.419604778 -25.3412434539 114.3 5.85671056717e-05 22.3390927815 21.2192939091 0.363861629479 0.344062757108 7.02138387513
34 201.679308658 -23.3053494688 103.7 0.0 22.3398981985 21.2085559601 0.576004416533 0.544662178155 7.03855153845
35 202.902802505 -21.260654087 88.8 0.0 22.3446779663 21.1947477074 0.917613137439 0.867682878457 7.02791863723
36 204.094560375 -19.2083187508 98.8 0.0 22.3422864589 21.2050949483 0.683501735926 0.646310225368 7.02565497644
37 205.258716694 -17.1494091399 74.7 0.0 22.3480256471 21.1774831544 1.296422638 1.22588014528 7.0367308803
38 206.39911484 -15.0849102212 37.8 0.0 22.3634203241 21.1115552122 2.79096132487 2.63909621301 7.0415088866
53 222.801306119 16.0056739054 125.6 8.85433806298e-05 22.3362963535 21.2277889514 0.156348156491 0.147840754378 7.02620732536
54 223.983057615 18.0515688863 119.0 7.71519998511e-05 22.3365350993 21.2216367517 0.273800292369 0.258901944743 7.03810359278
55 225.194444723 20.0891323986 122.6 8.5446654738e-05 22.3362592142 21.2248973665 0.208806863334 0.197445015581 7.03308859248
56 226.439565085 22.117220015 124.1 8.89127479695e-05 22.337086118 21.2271161408 0.183227210492 0.173257233277 7.02095307836
57 227.722836381 24.134581676 124.8 9.11484857783e-05 22.3357519019 21.2265191274 0.169678975176 0.160446200678 7.03376903481
58 229.049043648 26.1398441487 127.8 9.64215973175e-05 22.3347578643 21.228385884 0.117103595212 0.11073161491 7.0380679328
59 230.423391035 28.1314909743 126.5 9.59834294668e-05 22.3364579565 21.2287854066 0.141005328987 0.133332779078 7.02255728802
60 231.851558133 30.1078393858 125.8 9.6365639995e-05 22.3363101915 21.2279900345 0.152906985953 0.14458682891 7.02563190085
61 233.339760929 32.0670137908 125.2 9.6792684679e-05 22.3365317599 21.2276346528 0.163510115538 0.154613008378 7.02453623929
62 234.894816926 34.0069151868 126.1 9.94924197849e-05 22.3355507654 21.2275533685 0.146975332536 0.138977935683 7.0331474463
63 236.524213507 35.9251859282 125.8 0.000100704674218 22.3357774569 21.2274862876 0.152374251354 0.1440830821 7.03135199381
64 238.236177735 37.8191691973 114.9 8.15349852206e-05 22.3390070861 21.2198314998 0.352406942621 0.333231356315 7.02091009324
65 240.039744541 39.685862543 123.1 0.000100210251968 22.3373371508 21.2263975482 0.201046886127 0.190107283497 7.02042640372
66 241.944818463 41.5218649168 121.2 9.90564452102e-05 22.3361502611 21.2234373175 0.233637161907 0.220924218373 7.03733675405
67 243.962221557 43.323316812 117.9 9.39922478987e-05 22.3368085936 21.2207980797 0.294239568114 0.278229054272 7.03764666045
68 246.103716625 45.0858334535 118.7 9.82104017044e-05 22.3369080529 21.2216911615 0.279654458165 0.264437566698 7.03476989539
69 248.381990247 46.8044315834 115.5 9.69931900368e-05 22.3374562615 21.2189804616 0.339546340331 0.321070540436 7.03617656036
70 250.810574103 48.4734513582 120.8 0.000107540020324 22.3363318131 21.2232183896 0.240997141674 0.227883718155 7.03627069906
71 253.40367583 50.0864763625 122.1 0.00011213295001 22.3371344125 21.2252420781 0.218556092773 0.206663758336 7.02478484223
72 256.1758826 51.6362569534 120.7 0.00011275019988 22.3377845732 21.224494248 0.24424822269 0.230957897479 7.02089227524
73 259.141692874 53.1146450984 122.8 0.00011856275284 22.3361765975 21.2250118398 0.205184763521 0.194020005777 7.03353935059
74 262.314827432 54.5125529445 121.5 0.000119964802506 22.3372973486 21.2248140942 0.229415958915 0.216932704506 7.02435411947
75 265.707273539 55.8199519056 125.2 0.000126738028224 22.3361130579 21.2272387337 0.163091413528 0.15421708928 7.0290310545
76 269.328033313 57.0259339652 130.0 0.000132108721133 22.3357432148 21.2313343069 0.0810264532827 0.076617545398 7.02289455283
77 273.181586712 58.1188605231 128.0 0.000134878256781 22.3355982243 21.2293652816 0.114548376082 0.108315433406 7.02861927025
