# R appU appV SNR contamination
120.0 22.0809062302 20.9809062302 17.7608386492 0.0
120.1 22.082715037 20.982715037 17.7150317387 0.0
120.2 22.0845223383 20.9845223383 17.669347639 0.0
120.3 22.0863281367 20.9863281367 17.6237861337 0.0
120.4 22.0881324346 20.9881324346 17.5783470049 0.0
120.5 22.0899352346 20.9899352346 17.5330300339 0.0
120.6 22.091736539 20.991736539 17.4878350006 0.0
120.7 22.0935363505 20.9935363505 17.442761684 0.0
120.8 22.0953346714 20.9953346714 17.3978098619 0.0
120.9 22.0971315043 20.9971315043 17.3529793112 0.0
121.0 22.0989268516 20.9989268516 17.3082698075 0.0
121.1 22.1007207157 21.0007207157 17.2636811256 0.0
121.2 22.1025130992 21.0025130992 17.2192130392 0.0
121.3 22.1043040043 21.0043040043 17.1748653212 0.0
121.4 22.1060934337 21.0060934337 17.1306377433 0.0
121.5 22.1078813897 21.0078813897 17.0865300762 0.0
121.6 22.1096678747 21.0096678747 17.0425420901 0.0
121.7 22.1114528912 21.0114528912 16.9986735539 0.0
121.8 22.1132364415 21.0132364415 16.9549242357 0.0
121.9 22.1150185281 21.0150185281 16.9112939029 0.0
122.0 22.1167991534 21.0167991534 16.8677823217 0.0
122.1 22.1185783197 21.0185783197 16.824389258 0.0
122.2 22.1203560295 21.0203560295 16.7811144763 0.0
122.3 22.1221322852 21.0221322852 16.7379577408 0.0
122.4 22.123907089 21.023907089 16.6949188145 0.0
122.5 22.1256804435 21.0256804435 16.65199746 0.0
122.6 22.1274523509 21.0274523509 16.609193439 0.0
122.7 22.1292228136 21.0292228136 16.5665065124 0.0
122.8 22.130991834 21.030991834 16.5239364405 0.0
122.9 22.1327594144 21.0327594144 16.4814829828 0.0
123.0 22.1345255572 21.0345255572 16.4391458983 0.0
123.1 22.1362902647 21.0362902647 16.3969249452 0.0
123.2 22.1380535391 21.0380535391 16.354819881 0.0
123.3 22.139815383 21.039815383 16.3128304628 0.0
123.4 22.1415757985 21.0415757985 16.2709564468 0.0
123.5 22.143334788 21.043334788 16.2291975889 0.0
123.6 22.1450923538 21.0450923538 16.1875536441 0.0
123.7 22.1468484981 21.0468484981 16.1460243671 0.0
123.8 22.1486032234 21.0486032234 16.1046095119 0.0
123.9 22.1503565319 21.0503565319 16.063308832 0.0
124.0 22.1521084258 21.0521084258 16.0221220805 0.0
124.1 22.1538589075 21.0538589075 15.9810490097 0.0
124.2 22.1556079792 21.0556079792 15.9400893717 0.0
124.3 22.1573556432 21.0573556432 15.899242918 0.0
124.4 22.1591019018 21.0591019018 15.8585093997 0.0
124.5 22.1608467572 21.0608467572 15.8178885672 0.0
124.6 22.1625902116 21.0625902116 15.7773801709 0.0
124.7 22.1643322674 21.0643322674 15.7369839603 0.0
124.8 22.1660729267 21.0660729267 15.696699685 0.0
124.9 22.1678121919 21.0678121919 15.6565270936 0.0
125.0 22.169550065 21.069550065 15.616465935 0.0
125.1 22.1712865485 21.0712865485 15.5765159571 0.0
125.2 22.1730216444 21.0730216444 15.5366769079 0.0
125.3 22.174755355 21.074755355 15.4969485348 0.0
125.4 22.1764876825 21.0764876825 15.4573305851 0.0
125.5 22.1782186291 21.0782186291 15.4178228054 0.0
125.6 22.179948197 21.079948197 15.3784249424 0.0
125.7 22.1816763884 21.0816763884 15.3391367423 0.0
125.8 22.1834032055 21.0834032055 15.2999579511 0.0
125.9 22.1851286505 21.0851286505 15.2608883145 0.0
126.0 22.1868527256 21.0868527256 15.2219275778 0.0
126.1 22.1885754329 21.0885754329 15.1830754864 0.0
126.2 22.1902967745 21.0902967745 15.1443317852 0.0
126.3 22.1920167528 21.0920167528 15.1056962188 0.0
126.4 22.1937353697 21.0937353697 15.067168532 0.0
126.5 22.1954526276 21.0954526276 15.0287484689 0.0
126.6 22.1971685284 21.0971685284 14.9904357738 0.0
126.7 22.1988830744 21.0988830744 14.9522301905 0.0
126.8 22.2005962677 21.1005962677 14.914131463 0.0
126.9 22.2023081105 21.1023081105 14.876139335 0.0
127.0 22.2040186048 21.1040186048 14.8382535498 0.0
127.1 22.2057277528 21.1057277528 14.8004738509 0.0
127.2 22.2074355566 21.1074355566 14.7627999815 0.0
127.3 22.2091420183 21.1091420183 14.7252316849 0.0
127.4 22.21084714 21.11084714 14.687768704 0.0
127.5 22.2125509238 21.1125509238 14.6504107818 0.0
127.6 22.2142533719 21.1142533719 14.6131576613 0.0
127.7 22.2159544863 21.1159544863 14.576009085 0.0
127.8 22.2176542691 21.1176542691 14.538964796 0.0
127.9 22.2193527224 21.1193527224 14.5020245367 0.0
128.0 22.2210498482 21.1210498482 14.4651880499 0.0
128.1 22.2227456487 21.1227456487 14.4284550783 0.0
128.2 22.2244401259 21.1244401259 14.3918253642 0.0
128.3 22.2261332819 21.1261332819 14.3552986505 0.0
128.4 22.2278251187 21.1278251187 14.3188746795 0.0
128.5 22.2295156383 21.1295156383 14.282553194 0.0
128.6 22.2312048429 21.1312048429 14.2463339364 0.0
128.7 22.2328927345 21.1328927345 14.2102166494 0.0
128.8 22.2345793151 21.1345793151 14.1742010757 0.0
128.9 22.2362645868 21.1362645868 14.1382869578 0.0
129.0 22.2379485515 21.1379485515 14.1024740386 0.0
129.1 22.2396312113 21.1396312113 14.0667620607 0.0
129.2 22.2413125683 21.1413125683 14.0311507671 0.000115593572997
129.3 22.2429926244 21.1429926244 13.9956399006 0.0
129.4 22.2446713817 21.1446713817 13.9602292042 0.0
129.5 22.2463488421 21.1463488421 13.924918421 0.0
129.6 22.2480250077 21.1480250077 13.8897072941 0.0
129.7 22.2496998804 21.1496998804 13.8545955669 0.000230707117315
129.8 22.2513734623 21.1513734623 13.8195829827 0.0
129.9 22.2530457554 21.1530457554 13.7846692849 0.0
130.0 22.2547167615 21.1547167615 13.7498542173 0.0
130.1 22.2563864828 21.1563864828 13.7151375236 0.0
130.2 22.2580549212 21.1580549212 13.6805189476 0.0
130.3 22.2597220786 21.1597220786 13.6459982334 0.0
130.4 22.261387957 21.161387957 13.6115751252 0.0
130.5 22.2630525584 21.1630525584 13.5772493673 0.0
130.6 22.2647158847 21.1647158847 13.5430207043 0.0
130.7 22.2663779379 21.1663779379 13.5088888808 0.0
130.8 22.2680387199 21.1680387199 13.4748536418 0.0
130.9 22.2696982328 21.1696982328 13.4409147322 0.000116022740457
131.0 22.2713564783 21.1713564783 13.4070718973 0.0
131.1 22.2730134585 21.1730134585 13.3733248826 0.0
131.2 22.2746691752 21.1746691752 13.3396734337 0.0
131.3 22.2763236304 21.1763236304 13.3061172964 0.0
131.4 22.2779768261 21.1779768261 13.272656217 0.0
131.5 22.2796287641 21.1796287641 13.2392899416 0.0
131.6 22.2812794464 21.1812794464 13.2060182169 0.0
131.7 22.2829288748 21.1829288748 13.1728407895 0.0
131.8 22.2845770513 21.1845770513 13.1397574066 0.0
131.9 22.2862239777 21.1862239777 13.1067678153 0.0
132.0 22.287869656 21.187869656 13.0738717632 0.0
132.1 22.2895140881 21.1895140881 13.041068998 0.0
132.2 22.2911572757 21.1911572757 13.0083592679 0.0
132.3 22.2927992209 21.1927992209 12.9757423211 0.000116767865483
132.4 22.2944399255 21.1944399255 12.9432179061 0.0
132.5 22.2960793914 21.1960793914 12.9107857719 0.0
132.6 22.2977176203 21.1977176203 12.8784456676 0.0
132.7 22.2993546143 21.1993546143 12.8461973426 0.0
132.8 22.3009903752 21.2009903752 12.8140405467 0.0
132.9 22.3026249047 21.2026249047 12.7819750299 0.0
133.0 22.3042582048 21.2042582048 12.7500005425 0.0
133.1 22.3058902774 21.2058902774 12.7181168352 0.0
133.2 22.3075211242 21.2075211242 12.6863236589 0.00011582117211
133.3 22.3091507471 21.2091507471 12.6546207649 0.000116767865483
133.4 22.3107791479 21.2107791479 12.6230079049 0.0
133.5 22.3124063285 21.2124063285 12.5914848306 0.0
133.6 22.3140322907 21.2140322907 12.5600512945 0.000235128144839
133.7 22.3156570363 21.2156570363 12.5287070491 0.0
133.8 22.3172805672 21.2172805672 12.4974518473 0.0
133.9 22.3189028851 21.2189028851 12.4662854424 0.000234000234
134.0 22.3205239918 21.2205239918 12.435207588 0.0
134.1 22.3221438893 21.2221438893 12.4042180382 0.000116049669258
134.2 22.3237625792 21.2237625792 12.3733165473 0.00023537719195
134.3 22.3253800633 21.2253800633 12.3425028699 0.000116144018583
134.4 22.3269963436 21.2269963436 12.3117767612 0.000466907902416
134.5 22.3286114217 21.2286114217 12.2811379765 0.0
134.6 22.3302252994 21.2302252994 12.2505862717 0.0
134.7 22.3318379786 21.2318379786 12.220121403 0.000117467402796
134.8 22.333449461 21.233449461 12.189743127 0.0
134.9 22.3350597484 21.2350597484 12.1594512005 0.0
135.0 22.3366688425 21.2366688425 12.1292453809 0.0
135.1 22.3382767451 21.2382767451 12.099125426 0.0
135.2 22.339883458 21.239883458 12.0690910938 0.0
135.3 22.341488983 21.241488983 12.0391421429 0.000117522623105
135.4 22.3430933217 21.2430933217 12.0092783322 0.000117924528302
135.5 22.3446964761 21.2446964761 11.979499421 0.0
135.6 22.3462984477 21.2462984477 11.949805169 0.0
135.7 22.3478992383 21.2478992383 11.9201953364 0.000118427285647
135.8 22.3494988497 21.2494988497 11.8906696837 0.000118021952083
135.9 22.3510972837 21.2510972837 11.8612279719 0.000472087808332
136.0 22.3526945419 21.2526945419 11.8318699623 0.000353565114909
136.1 22.354290626 21.254290626 11.8025954168 0.000118315191671
136.2 22.3558855379 21.2558855379 11.7734040976 0.0
136.3 22.3574792792 21.2574792792 11.7442957673 0.0
136.4 22.3590718516 21.2590718516 11.7152701891 0.000116808784021
136.5 22.3606632569 21.2606632569 11.6863271263 0.0
136.6 22.3622534967 21.2622534967 11.6574663431 0.000118035882908
136.7 22.3638425728 21.2638425728 11.6286876038 0.000118105586394
136.8 22.3654304869 21.2654304869 11.5999906732 0.000352899658864
136.9 22.3670172407 21.2670172407 11.5713753166 0.000238038562247
137.0 22.3686028358 21.2686028358 11.5428412996 0.000117910623747
137.1 22.3701872739 21.2701872739 11.5143883886 0.00035701535166
137.2 22.3717705569 21.2717705569 11.48601635 0.000355239786856
137.3 22.3733526862 21.2733526862 11.457724951 0.0001178133836
137.4 22.3749336636 21.2749336636 11.429513959 0.00023598820059
137.5 22.3765134908 21.2765134908 11.4013831421 0.000355745286375
137.6 22.3780921695 21.2780921695 11.3733322686 0.000237079184448
137.7 22.3796697013 21.2796697013 11.3453611075 0.000237079184448
137.8 22.3812460879 21.2812460879 11.3174694282 0.000237135404316
137.9 22.3828213309 21.2828213309 11.2896570004 0.000354819633353
138.0 22.384395432 21.284395432 11.2619235944 0.000355239786856
138.1 22.3859683929 21.2859683929 11.2342689811 0.0
138.2 22.3875402152 21.2875402152 11.2066929315 0.000353232073472
138.3 22.3891109005 21.2891109005 11.1791952175 0.000346300357844
138.4 22.3906804506 21.2906804506 11.1517756112 0.000694283730618
138.5 22.392248867 21.292248867 11.1244338852 0.000347705146036
138.6 22.3938161514 21.2938161514 11.0971698128 0.000930016275285
138.7 22.3953823054 21.2953823054 11.0699831674 0.000461467466544
138.8 22.3969473306 21.2969473306 11.0428737231 0.000231696014829
138.9 22.3985112287 21.2985112287 11.0158412547 0.000579240037071
139.0 22.4000740013 21.3000740013 10.988885537 0.00046093569947
139.1 22.40163565 21.30163565 10.9620063456 0.00069244085401
139.2 22.4031961764 21.3031961764 10.9352034566 0.00116103564379
139.3 22.4047555821 21.3047555821 10.9084766464 0.000462962962963
139.4 22.4063138688 21.3063138688 10.8818256922 0.000231669176416
139.5 22.407871038 21.307871038 10.8552503713 0.00104396241735
139.6 22.4094270914 21.3094270914 10.8287504617 0.00080971659919
139.7 22.4109820306 21.3109820306 10.802325742 0.000928181923657
139.8 22.412535857 21.312535857 10.775975991 0.000928505106778
139.9 22.4140885725 21.3140885725 10.7497009884 0.000696055684455
140.0 22.4156401784 21.3156401784 10.723500514 0.00046565774156
140.1 22.4171906764 21.3171906764 10.6973743483 0.000807754442649
140.2 22.4187400682 21.3187400682 10.6713222722 0.000920810313076
140.3 22.4202883551 21.3202883551 10.6453440673 0.00105720662516
140.4 22.421835539 21.321835539 10.6194395155 0.00104347826087
140.5 22.4233816212 21.3233816212 10.5936083993 0.00115740740741
140.6 22.4249266034 21.3249266034 10.5678505016 0.0010478519036
140.7 22.4264704872 21.3264704872 10.5421656059 0.000934470272164
140.8 22.428013274 21.328013274 10.5165534963 0.00116144018583
140.9 22.4295549655 21.3295549655 10.4910139571 0.000812536273941
141.0 22.4310955633 21.3310955633 10.4655467734 0.00162544990131
141.1 22.4326350688 21.3326350688 10.4401517307 0.00175172252715
141.2 22.4341734836 21.3341734836 10.414828615 0.00139405204461
141.3 22.4357108092 21.3357108092 10.3895772129 0.000930016275285
141.4 22.4372470473 21.3372470473 10.3643973113 0.000469980025849
141.5 22.4387821993 21.3387821993 10.3392886978 0.00127906976744
141.6 22.4403162668 21.3403162668 10.3142511605 0.00092689143784
141.7 22.4418492512 21.3418492512 10.2892844879 0.00173872725165
141.8 22.4433811542 21.3433811542 10.2643884691 0.00127936729472
141.9 22.4449119773 21.3449119773 10.2395628937 0.00105164758121
142.0 22.4464417219 21.3464417219 10.2148075517 0.00163646990064
142.1 22.4479703896 21.3479703896 10.190122234 0.00140762463343
142.2 22.449497982 21.349497982 10.1655067314 0.00211714890614
142.3 22.4510245004 21.3510245004 10.1409608358 0.00211914292442
142.4 22.4525499465 21.3525499465 10.1164843393 0.00128070788217
142.5 22.4540743217 21.3540743217 10.0920770345 0.00152995174768
142.6 22.4555976276 21.3555976276 10.0677387148 0.00116945386505
142.7 22.4571198656 21.3571198656 10.0434691736 0.00268911493043
142.8 22.4586410372 21.3586410372 10.0192682054 0.00279427174293
